Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,Note,NF Norm,LegalSource,Who,When,Updateable
SynID,Synapse id.,,,TRUE,,Synapse,,,,,,,,,
EntityLevel,Type of Synapse entity.,"Project, Dataset, File",,TRUE,,Synapse,,,,,,,,,
StudyName,Study name,,,TRUE,,Synapse,,,,,,,,,
PIName,Name of PI(s),,,TRUE,,Synapse,,,,,,,,,
FunderSponsor,Main funder or sponsor associated with the asset.,"NTAP, CTF, GFF, None",,TRUE,,Synapse,,,list,,,,,,
DSP,Data Sharing Plan reference,,,FALSE,,,,,,,,,,,
EthicsDocs,Ethics docs link,,,FALSE,,,,,,,,,,,
OtherDocs,Other relevant docs,,,FALSE,,,,,,,,,,,
Data Use Permission,Data use permission,"disease specific research, health or medical or biomedical research, general research use, no restriction, population origins or ancestry research only",,TRUE,http://purl.obolibrary.org/obo/DUO_0000001,,,,,,Only GFF-funded projects default to “disease specific research” (other funder projects may default to “health or medical or biomedical research”),Funder/NF-OSI agreement?,"F,P,I",Init,No
disease specific research  ,,,,FALSE,,Data Use Permission,,,,,,,,,
health or medical or biomedical research,,,,FALSE,,Data Use Permission,,,,,,,,,
general research use,,,,FALSE,,Data Use Permission,,,,,,,,,
no restriction,,,,FALSE,,Data Use Permission,,,,,,,,,
population origins or ancestry research only,,,,FALSE,,Data Use Permission,,,,,,,,,
Data Use Modifier,Data use modifiers indicate additional conditions for use.,,,TRUE,,,,,,,,,,,
Clinical Care Use,Use is allowed for clinical use and care.,"TRUE, FALSE",,TRUE,,Data Use Modifier,,,,,,,,CloseOut,Yes
Collaboration Required,Collaboration with primary study PI(s) is required to use data.,"TRUE, FALSE",,TRUE,,Data Use Modifier,,,,,Discouraged,,,CloseOut,Yes
Ethics Approval Required,Use requires ethics approval.,"TRUE, FALSE",,TRUE,,Data Use Modifier,,,,,,,,CloseOut,Yes
Genetic Studies Only,Use is limited to genetic studies only.,"TRUE, FALSE",,TRUE,,Data Use Modifier,,,,,,,,CloseOut,Yes
Geographical Restriction,Use limited to within a specific geographic region.,,,TRUE,,Data Use Modifier,,,,,,,,CloseOut,Yes
Institution Specific Restriction,Whether data can only be used by certain institutions.,"TRUE, FALSE",,TRUE,,Data Use Modifier,,,,,,,,CloseOut,Yes
No General Methods Research,Cannot use for general methods research.,"TRUE, FALSE",,TRUE,,Data Use Modifier,,,,,,,,CloseOut,Yes
Non-Commercial Use Only,Non-commercial use only,"TRUE, FALSE",,TRUE,,Data Use Modifier,,,,,,,,CloseOut,Yes
Not-For-Profit Organization Use Only,Non-profit organization use only,"TRUE, FALSE",,TRUE,,Data Use Modifier,,,,,,,,CloseOut,Yes
Population origins or ancestry research prohibited,Whether data use for for population origins or ancestry research is prohibited,"TRUE, FALSE",,TRUE,,Data Use Modifier,,,,,,,,CloseOut,Yes
Project Specific Restriction,Whether there is project specific restriction.,"TRUE, FALSE",,TRUE,,Data Use Modifier,,,,,,,,CloseOut,Yes
Project Specific Restriction Detail,Type of project restriction.,"Accept Standard Terms of Use, IDU Statement",,TRUE,,Data Use Modifier,,,list,,,,,,
Publication Moratorium,Data user agrees not to publish results of studies until a specific date.,"TRUE, FALSE",,TRUE,,Data Use Modifier,,,,,,,,CloseOut,Yes
Publication Required,Data user agrees to make any results from using the data available to the larger scientific community.,"TRUE, FALSE",,TRUE,,Data Use Modifier,,,,,,,,CloseOut,Yes
Research Specific Restriction,Use is limited to studies of a certain research type.,"TRUE, FALSE",,TRUE,,Data Use Modifier,,,,,,,,CloseOut,Yes
Research Specific Restriction Detail,Type of research restriction.,,,TRUE,,Data Use Modifier,,,,,,,,,
Return to Database or Resource,Whether data has to be returned to database or resource.,"TRUE, FALSE",,TRUE,,Data Use Modifier,,,,,,,,CloseOut,Yes
Time Limit on Use,"Time period allowed for data use, after which renewal is required for continued use.","6 months, 12 months, no time limit on use",,TRUE,,Data Use Modifier,,,,,,,,CloseOut,Yes
User Specific Restriction,Use is limited to users of certain type.,"TRUE, FALSE",,TRUE,,Data Use Modifier,,,,,Most NF Synapse projects require at least Synapse registered account,,,CloseOut,Yes
User Specific Restriction Detail,Type of user that can use the data.,"Synapse Registered, Synapse Certified, Synapse Validated, RAS account, eRA Commons ID, ORCiD, Team membership, Google authenticated, NIH Security Training",,TRUE,,Data Use Modifier,,,,,,,,CloseOut,Yes
Source Geography,Where the data came from,,,TRUE,,Governance Ext Annotation,,,,,Varies,,,"Init, CloseOut",Yes
Jurisdiction,Country/region under which data governance laws apply,,,TRUE,,Governance Ext Annotation,,,,,Varies,,,,
Gov Category,Governance category,"Non-Human Data, Raw, De-identified, Pseudoanonymized, Anonymized, PHI-PII",,TRUE,,Governance Ext Annotation,,,,,Varies,,,CloseOut,Yes
Non-Human Data,,,,FALSE,,Gov Category,,,,,,,,,
Raw,,,,FALSE,,Gov Category,,,,,,,,,
De-identified,,,,FALSE,,Gov Category,,,,,,,,,
Pseudoanonymized,,,,FALSE,,Gov Category,,,,,,,,,
PHI-PII,,,,FALSE,,Gov Category,,,,,,,,,
