#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_set_id: https://w3id.org/nfosi/
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-07-20
#curie_map: 
# nf: https://w3id.org/synapse/nfosi/vocab/
# personinfo: https://w3id.org/linkml/examples/personinfo/
# linkml: https://w3id.org/linkml/
# schema: http://schema.org/
# rdfs: http://www.w3.org/2000/01/rdf-schema#
# skos: http://www.w3.org/2004/02/skos/core#
# prov: http://www.w3.org/ns/prov#
# htan: https://raw.githubusercontent.com/ncihtan/data-models/main/HTAN.model.jsonld
# NCIT: http://purl.obolibrary.org/obo/NCIT_
# BTO: http://purl.obolibrary.org/obo/BTO_
# UBERON: http://purl.obolibrary.org/obo/UBERON_
# OBI: http://purl.obolibrary.org/obo/OBI_
# UO: http://purl.obolibrary.org/obo/UO_
# CL: http://purl.obolibrary.org/obo/CL_
# CHMO: http://purl.obolibrary.org/obo/CHMO_
# MI: http://purl.obolibrary.org/obo/MI_
# MMO: http://purl.obolibrary.org/obo/MMO_
# ERO: http://purl.obolibrary.org/obo/ERO_
# MAXO: http://purl.obolibrary.org/obo/MAXO_
# MONDO: http://purl.obolibrary.org/obo/MONDO_
# HP: http://purl.obolibrary.org/obo/HP_
# VT: http://purl.obolibrary.org/obo/VT_
# FMA: http://purl.obolibrary.org/obo/FMA_
# CLO: http://purl.obolibrary.org/obo/CLO_
# GENO: http://purl.obolibrary.org/obo/GENO_
# GO: http://purl.obolibrary.org/obo/GO_
# IAO: http://purl.obolibrary.org/obo/IAO_
# MS: http://purl.obolibrary.org/obo/MS_
# OMIABIS: http://purl.obolibrary.org/obo/OMIABIS_
# FBbi: http://purl.obolibrary.org/obo/FBbi_
# FBcv: http://purl.obolibrary.org/obo/FBcv_
# PATO: http://purl.obolibrary.org/obo/PATO_
# EFO: http://www.ebi.ac.uk/efo/EFO_
# EDAM: http://edamontology.org/
# BAO: http://www.bioassayontology.org/bao#BAO_
# SWO: http://www.ebi.ac.uk/swo/data/SWO_
# SNOMED: http://snomed.info/id/
# ENM: http://purl.enanomapper.org/onto/ENM_
# DCM: http://dicom.nema.org/resources/ontology/DCM/
# CHEMINF: http://semanticscience.org/resource/CHEMINF_
# CMPO: http://www.ebi.ac.uk/cmpo/CMPO_
# ZFA: http://purl.obolibrary.org/obo/ZFA_
# DOID: http://purl.obolibrary.org/obo/DOID_
# DUO: http://purl.obolibrary.org/obo/DUO_
# NBO: http://purl.obolibrary.org/obo/NBO_
# NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
# MESH: https://id.nlm.nih.gov/mesh/
# OMIM: https://omim.org/entry/
# rrid: https://identifiers.org/RRID:
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
nf:AnimalModel#B6.129(Cg)-Nf1tm1Par/J	B6.129(Cg)-Nf1tm1Par/J	skos:exactMatch		rrid:IMSR_JAX:017640		skos:exactMatch	https://w3id.org/nfosi/						AnimalModel			
nf:AnimalModel#B6.129S1-Nf1tm1Cbr/J	B6.129S1-Nf1tm1Cbr/J	skos:exactMatch		rrid:IMSR_JAX:007923		skos:exactMatch	https://w3id.org/nfosi/						AnimalModel			
nf:AnimalModel#B6.129S2-Nf1tm1Tyj/J	B6.129S2-Nf1tm1Tyj/J	skos:exactMatch		rrid:IMSR_JAX:008192		skos:exactMatch	https://w3id.org/nfosi/						AnimalModel			
nf:AnimalModel#B6.129S6-Nf1tm1Fcr/J	B6.129S6-Nf1tm1Fcr/J	skos:exactMatch		rrid:IMSR_JAX:002646		skos:exactMatch	https://w3id.org/nfosi/						AnimalModel			
nf:AnimalModel#B6.FVB-Tg(EIIa-cre)C5379Lmgd/J	B6.FVB-Tg(EIIa-cre)C5379Lmgd/J	skos:exactMatch		rrid:IMSR_JAX:003724		skos:exactMatch	https://w3id.org/nfosi/						AnimalModel			
nf:AnimalModel#B6;129-Trp53tm1TyjNf1tm1TyjSuz12Gt(Betageo)1Khe/KcichJ	B6;129-Trp53tm1TyjNf1tm1TyjSuz12Gt(Betageo)1Khe/KcichJ	skos:exactMatch		rrid:IMSR_JAX:027678		skos:exactMatch	https://w3id.org/nfosi/						AnimalModel			
nf:AnimalModel#B6;129S2-Trp53tm1TyjNf1tm1Tyj/J	B6;129S2-Trp53tm1TyjNf1tm1Tyj/J	skos:exactMatch		rrid:IMSR_JAX:008191		skos:exactMatch	https://w3id.org/nfosi/						AnimalModel			
nf:AnimalModel#C57BL/6-Nf1<tm1Joe>/Mmjax	C57BL/6-Nf1<tm1Joe>/Mmjax	skos:exactMatch		rrid:MMRRC_041154-JAX		skos:exactMatch	https://w3id.org/nfosi/						AnimalModel			
nf:AnimalModel#C57BL/6N-Nf1<tm1a(KOMP)Wtsi>/Mmucd	C57BL/6N-Nf1<tm1a(KOMP)Wtsi>/Mmucd	skos:exactMatch		rrid:MMRRC_048792-UCD		skos:exactMatch	https://w3id.org/nfosi/						AnimalModel			
nf:ArchiveFileFormatEnum#7z	7z	skos:exactMatch		NCIT:C80224		skos:exactMatch	https://w3id.org/nfosi/						ArchiveFileFormatEnum			
nf:ArchiveFileFormatEnum#dockerimage	dockerimage	skos:exactMatch		EDAM:format_3973		skos:exactMatch	https://w3id.org/nfosi/						ArchiveFileFormatEnum			
nf:ArchiveFileFormatEnum#gzip	gzip	skos:exactMatch		EDAM:format_3989		skos:exactMatch	https://w3id.org/nfosi/						ArchiveFileFormatEnum			
nf:ArchiveFileFormatEnum#tar	tar	skos:exactMatch		EDAM:format_3981		skos:exactMatch	https://w3id.org/nfosi/						ArchiveFileFormatEnum			
