"Field","Description","Required","ControlledVocab","Note"
"Component","Category of metadata manifest; provide the same one for all items/rows.","required","",""
"parentSpecimenID","A unique identifier (non-PII) that represents the parent specimen (sample) from which the data came from, e.g. the single parent tumor. The parentSpecimenIDcan be the same as specimenID when there is no subsectioning.","optional","",""
"specimenID","A unique identifier (non-PII) that represents the subspecimen (subsample) from which the data came, e.g. an ID that distinguishes between different parts of the same parent tumor specimen. This can be the A A unique identifier (non-PII) that represents the","optional","","Typically annotated with a single ID, but many allowed for summary data."
"aliquotID","A unique identifier (non-PII) that represents the aliquots used for e.g. replicate runs. This is linked to the specimenID. ","optional","",""
"organ","A unique macroscopic (gross) anatomic structure that performs specific functions. It is composed of various tissues. An organ is part of an anatomic system or a body region.","optional","#Organ",""
"tissue","A tissue is a mereologically maximal collection of cells that together perform physiological function.","optional","#Tissue",""
"isCellLine","Whether or not sample source is a cell line (Yes; No)","optional","Yes, No",""
"isPrimaryCell","Whether or not cellType is primary (Yes; No)","optional","Yes, No",""
"cellType","A cell type is a distinct morphological or functional form of cell.","optional","#Cell",""
"tumorType","The type of tumor that the biospecimen used to generate the data were collected from.","optional","#Tumor",""
"specimenPreparationMethod","Term that represents preservation of the sample before usage in, e.g. sequencing","optional","#Specimen_State",""
"modelSystemName","A group of presumed common ancestry with clear-cut physiological but usually not morphological distinctions such as an animal model or cell line. EXAMPLE(S):  HEK293T (cell line), Minnesota5 (swine strain), DXL (poultry strain), RB51 (vaccine strain of Brucella abortus)","optional","#Model_System",""
