"Field","Description","Required","ValidRange"
"Component","Type of metadata template; provide the same one for all items/rows.","true","#"
"assay","The technology used to generate the data in this file.","true","#"
"dataSubtype","Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.","true","#"
"dataType","Links an entity to data types that the entity represents/contains. This is closely tied to the assay property. For example, a file of dataType `genomicVariants` might have an assay value of `whole genome sequencing`.
","true","#"
"diagnosis","Diagnosis for the individual given signs and symptoms. Use the most specific diagnosis term that applies.","true","#"
"fileFormat","Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software","true","#"
"individualID","A unique identifier (non-PII) that represents the individual from which the data came. This could be a patient or animal ID.","true","#"
"resourceType","The type of resource being stored and annotated","true","#"
"species","The name of a species (typically a taxonomic group) of organism.","true","#"
"tumorType","The type of tumor that the biospecimen used to generate the data were collected from.","true","#"
"Filename","The name of the file.","false","#"
"age","A numeric value representing age of the individual. Use with `ageUnit`.","false","#"
"ageUnit","A time unit that can be used with a given age value, e.g. years.","false","#"
"comments","Brief free-text comments that may also be important to understanding the resource.","false","#"
"compoundDose","A dose quantity for the treatment compound. To be used with compoundDoseUnit.","false","#"
"compoundDoseUnit","A unit associated with the value(s) in compoundDose.","false","#"
"compoundName","//pubchem.ncbi.nlm.nih.gov/compound/10127622)","false","#"
"experimentalCondition","A free-text description of the experimental condition (e.g. 5 mM doxorubicin).","false","#"
"experimentalFactor","An ontology concept for experimental factor measured with this data.","false","#"
"modelSystemName","  HEK293 (cell line), Minnesota5 (swine strain), DXL (poultry strain), RB51 (vaccine strain of Brucella abortus)","false","#"
"nf1Genotype","Genotype of NF1 gene in the biospecimen from which the data were derived, if known.","false","#"
"nf2Genotype","Genotype of NF2 gene in the biospecimen from which the data were derived, if known","false","#"
"organ","A unique macroscopic (gross) anatomic structure that performs specific functions. It is composed of various tissues. An organ is part of an anatomic system or a body region.","false","#"
"sex","Phenotypic expression of chromosomal makeup that defines a study subject as male, female, or other.","false","#"
"timepointUnit","For timed experiments this represents the unit of time measured","false","#"
