"Field","Description","Required","ValidRange"
"Component","Type of metadata template; provide the same one for all items/rows.","true","#"
"assay","The technology used to generate the data in this file.","true","#AssayEnum"
"dataSubtype","Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.","true","#DataSubtype"
"dataType","A type of data -- experimental, clinical, or other. Most typically refers to a high-level data type that can be related to an assay type.  For example, a file of dataType `genomicVariants` might have an assay value of `whole genome sequencing`.
","true","#Data|#Metadata"
"fileFormat","Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software","true","#FileFormatEnum"
"individualID","A unique identifier (non-PII) that represents the individual from which the data came. This could be a patient or animal ID.","true","#"
"libraryPreparationMethod","Method by which library was prepared","true","#LibraryPreparationMethodEnum"
"libraryStrand","Strandedness of paired-end RNA-Sequencing data. This is an important parameter for RNA-seq analysis.","true","#StrandednessEnum|#NotApplicableEnum"
"platform","A sequencing platform, microscope, spectroscope/plate reader, or other platform for collecting data.","true","#PlatformEnum"
"resourceType","The type of resource being stored and annotated","true","#Resource"
"species","The name of a species (typically a taxonomic group) of organism.","true","#SpeciesEnum"
"specimenID","A unique identifier (non-PII) that represents the subspecimen (subsample) from which the data came,  e.g. an ID that distinguishes between different parts of the same parent tumor specimen.
","true","#"
"specimenPreparationMethod","Term that represents preservation of the sample before usage in, e.g. sequencing","true","#SpecimenPreparationMethodEnum"
"tumorType","The type of tumor that the biospecimen used to generate the data were collected from.","true","#Tumor"
"Filename","The name of the file.","false","#"
"age","A numeric value representing age of the individual. Use with `ageUnit`.","false","#"
"ageUnit","A time unit that can be used with a given age value, e.g. years.","false","#TimeUnit"
"aliquotID","A unique identifier (non-PII) that represents the aliquots used for e.g. replicate runs. This is linked to the specimenID.","false","#"
"batchID","Batch identifier, can be used in any context where added batch information is helpful, such as different sequencing runs or collection times.","false","#"
"bisulfiteConversionKitID","Name of kit used in bisulfite conversion.","false","#"
"diagnosis","A diagnosis is the result of a medical investigation to identify a disorder from its signs and symptoms.","false","#DiagnosisEnum"
"libraryPrep","The general strategy by which the library was prepared","false","#LibraryPrepEnum"
"modelSystemName","A group of presumed common ancestry with clear-cut physiological but usually not morphological distinctions such as an animal model or cell line. EXAMPLE(S):  HEK293 (cell line), Minnesota5 (swine strain), DXL (poultry strain), RB51 (vaccine strain of Brucella abortus)","false","#CellLineModel|#MouseModel"
"nf1Genotype","Genotype of NF1 gene in the biospecimen from which the data were derived, if known.","false","#Genotype|#UnknownEnum"
"nf2Genotype","Genotype of NF2 gene in the biospecimen from which the data were derived, if known","false","#Genotype|#UnknownEnum"
"nucleicAcidSource","Source of the extracted nucleic acid used in the experiment","false","#NucleicAcidSourceEnum"
"parentSpecimenID","A unique identifier (non-PII) that represents the parent specimen (sample) from which the data came from, e.g. the single parent tumor that was subsectioned into several samples.  The parentSpecimenID can be the same as specimenID when there is no subsectioning.
","false","#"
"readDepth","If available, the coverage statistic as output from bedtools coverage or samtools stats.","false","#"
"readLength","Number of base pairs (bp) sequenced for a read","false","#"
"readPair","The read of origin, Read 1 or Read 2","false","#"
"runType","Sequencing run type.","false","#RunTypeEnum"
"sex","Phenotypic expression of chromosomal makeup that defines a study subject as male, female, or other.","false","#SexEnum|#UnknownEnum|#NotApplicableEnum"
"targetDepth","The targeted read depth prior to sequencing.","false","#"
"tissue","A tissue is a mereologically maximal collection of cells that together perform physiological function.","false","#TissueEnum"
