"Field","Description","Required","ControlledVocab","Note"
"Component","Category of metadata manifest; provide the same one for all items/rows.","required","",""
"Filename","The name of the file.","required","","Automatically filled when using the curator app."
"resourceType","The type of resource being stored and annotated","required","#Resource",""
"progressReportNumber","Indicates milestone the  data is associated with. Currently only required for projects funded by NTAP, GFF, and NFRI. For GFF studies, this is the ‘progress report’ timeline. Example: if submitting data for the 6-month milestone report for NTAP, progressReportNumber=1.  Also if submitting data associated with first milestone, progressReportNumber =1","optional","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, Not Applicable",""
"dataType","A type of experimental, clinical, or other data. This typically refers to a high-level data type, that is paired with a specific assay. For example, a file of dataType of """"genomicVariants"""" might have an assay value of """"whole genome sequencing"""". ","required","#Data",""
"assay","The technology used to generate the data in this file","required","#Assay",""
"platform","A sequencing platform, microscope, spectroscope/plate reader, or other platform for collecting data. ","optional","#Platform",""
"specimenID","A unique identifier (non-PII) that represents the subspecimen (subsample) from which the data came, e.g. an ID that distinguishes between different parts of the same parent tumor specimen. This can be the A A unique identifier (non-PII) that represents the","optional","","Typically annotated with a single ID, but many allowed for summary data."
"aliquotID","A unique identifier (non-PII) that represents the aliquots used for e.g. replicate runs. This is linked to the specimenID. ","optional","",""
"runType","Is the sequencing run single or paired end?","optional","#Run_Type",""
"libraryPrep","The general strategy by which the library was prepared","optional","#Library_Prep",""
"comments","Brief free-text comments that may also be important to understanding the resource.","optional","",""
