"Field","Description","Required","ValidRange"
"Component","Category of metadata manifest; provide the same one for all items/rows.","true",""
"Filename","The name of the file.","true",""
"dataSubtype","Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.","true","#DataSubtype"
"dataType","A type of experimental, clinical, or other data. This typically refers to a high-level data type that can be related to an assay type. For example, a file of dataType `genomicVariants` might have an assay value of `whole genome sequencing`.","true","#DataType"
"fileFormat","Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software","true","#FileFormat"
"resourceType","The type of resource being stored and annotated","true","#ResourceType"
"assay","The technology used to generate the data in this file","false","#Assay"
"comments","Brief free-text comments that may also be important to understanding the resource.","false",""
"concentrationMaterial","Numeric value for concentration of the material","false",""
"concentrationMaterialUnit","Unit used for the material concentration, e.g. mg/mL","false","Mg/mL,MM,Particles/mL"
"concentrationNaCl","Numeric value for NaCl concentration","false",""
"concentrationNaClUnit","Unit used for the NaCl concentration, e.g. mM","false","Mg/mL,MM"
"entityId","TBD","false",""
"materialType","Type of material in the characterization","false","Nanoparticles,Polymericnanoparticles,Smallmolecule,DNA"
"pH","Numeric value for pH sample parameter","false",""
"specimenID","A unique identifier (non-PII) that represents the subspecimen (subsample) from which the data came, e.g. an ID that distinguishes between different parts of the same parent tumor specimen. This can be the A A unique identifier (non-PII) that represents the","false",""
