"Field","Description","Required","ValidRange"
"Component","Category of metadata manifest; provide the same one for all items/rows.","true",""
"species","The name of a species (typically a taxonomic group) of organism.","true","#Species"
"age","A numeric value representing age of the individual. Use with ageUnit.","false",""
"ageUnit","A time unit that can be used with a given age value, e.g. years.","false","Days,Months,Years"
"diagnosis","A diagnosis is the result of a medical investigation to identify a disorder from its signs and symptoms.","false","#Diagnosis"
"experimentalTimepoint","The numeric value indicating the time elapsed from the beginning of the experiment at which the specimen was collected. Use in tandem with timePointUnit","false",""
"individualID","A unique identifier (non-PII) that represents the individual from which the data came. This could be a patient or animal ID.","false",""
"nf1Genotype","Genotype of NF1 gene in the biospecimen from which the data were derived, if known","false","#Nf1Genotype"
"nf2Genotype","Genotype of NF2 gene in the biospecimen from which the data were derived, if known","false","#Nf1Genotype"
"sex","Phenotypic expression of chromosomal makeup that defines a study subject as male, female, or other.","false","Male,Female,Unknown"
"timePointUnit","For timed experiments this represents the unit of time measured","false","#TimePointUnit"
