"Field","Description","Required","ValidRange"
"Component","Category of metadata manifest; provide the same one for all items/rows.","true",""
"Filename","The name of the file.","true",""
"dataSubtype","Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.","true","#DataSubtype"
"dataType","A type of experimental, clinical, or other data. This typically refers to a high-level data type that can be related to an assay type. For example, a file of dataType `genomicVariants` might have an assay value of `whole genome sequencing`.","true","#DataType"
"fileFormat","Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software","true","#FileFormat"
"resourceType","The type of resource being stored and annotated","true","#ResourceType"
"species","The name of a species (typically a taxonomic group) of organism.","true","#Species"
"age","A numeric value representing age of the individual. Use with ageUnit.","false",""
"ageUnit","A time unit that can be used with a given age value, e.g. years.","false","Days,Months,Years"
"assay","The technology used to generate the data in this file","false","#Assay"
"comments","Brief free-text comments that may also be important to understanding the resource.","false",""
"diagnosis","A diagnosis is the result of a medical investigation to identify a disorder from its signs and symptoms.","false","#Diagnosis"
"entityId","TBD","false",""
"individualID","A unique identifier (non-PII) that represents the individual from which the data came. This could be a patient or animal ID.","false",""
"isFilteredReads","Whether the reads in the processed result has been filtered by adding a 'PASS' filter or other filters as determined by the data generator","false",""
"nf1Genotype","Genotype of NF1 gene in the biospecimen from which the data were derived, if known","false","#Nf1Genotype"
"nf2Genotype","Genotype of NF2 gene in the biospecimen from which the data were derived, if known","false","#Nf1Genotype"
"progressReportNumber","Indicates milestone the  data is associated with. Currently only required for projects funded by NTAP, GFF, and NFRI. For GFF studies, this is the ‘progress report’ timeline. Example: if submitting data for the 6-month milestone report for NTAP, progressReportNumber=1.  Also if submitting data associated with first milestone, progressReportNumber =1","false","#ReadPair"
"sex","Phenotypic expression of chromosomal makeup that defines a study subject as male, female, or other.","false","Male,Female,Unknown"
"specimenID","A unique identifier (non-PII) that represents the subspecimen (subsample) from which the data came, e.g. an ID that distinguishes between different parts of the same parent tumor specimen. This can be the A A unique identifier (non-PII) that represents the","false",""
"workflow","Name and version of the workflow used to generate/analyze the data","false",""
"workflowLink","Workflow URL reference","false",""
