Attribute,.ID,.Type,.Root,.SubclassOf
Experimental_Assay,Assay,Class,Assay,
DNA_Assay,DNA_Assay,Class,Assay,Assay
RNA_Assay,RNA_Assay,Class,Assay,Assay
Behavioral_Assay,Behavioral_Assay,Class,Assay,Assay
Proteomics_Assay,Proteomics_Assay,Class,Assay,Assay
Radio_Assay,Radio_Assay,Class,Assay,Assay
Cell_Assay,Cell_Assay,Class,Assay,Assay
Epigenetics_Assay,Epigenetics_Assay,Class,Assay,Assay
Imaging_Assay,Imaging_Assay,Class,Assay,Assay
Volume_Measurement_Assay,Volume_Measurement_Assay,Class,Assay,Assay
Drug_Screen,Drug_Screen,Class,Assay,Assay
Electrophysiology_Assay,Electrophysiology_Assay,Class,Assay,Assay
Clinical_Assay,Clinical_Assay,Class,Assay,Assay
MRI_Assay,MRI_Assay,Class,Assay,Imaging_Assay
Assay_Template,Assay_Template,Class,Template,Manifest_Template
Non_Assay_Template,Non_Assay_Template,Class,Template,Template
Manifest_Template,Manifest_Template,Class,Template,Template
