Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
HPLC,"Frequently referred to simply as HPLC, this form of column chromatography is used frequently in biochemistry. The analyte is forced through a column by liquid at high pressure, which decreases the time the separated components remain on the stationary phase.",,,FALSE,http://purl.obolibrary.org/obo/NCIT_C16434,assay,,,,HPLC,Class,Assay,Assay,Proteomics_Assay,,,
elevated plus maze test,"A method which utilizes an experimental apparatus consisting of four arms, usually two enclosed and two open, in the shape of a plus (+) upon which the test animal can walk. The maze is elevated a set distance, for example 40 to 60 centimeters, above the floor or platform upon which the apparatus sits.",,,FALSE,http://purl.obolibrary.org/obo/MMO_0000262,assay,,,,Elevated_Plus_Maze_Test,Class,Assay,Assay,Behavioral_Assay,,,
open field test,"A test utilizing an enclosure consisting of a single area bordered by clear or opaque walls, used to measure movement, exploratory behavior, etc of an experimental subject.",,,FALSE,http://purl.obolibrary.org/obo/MMO_0000258,assay,,,,Open_Field_Test,Class,Assay,Assay,Behavioral_Assay,,,
rotarod performance test,"A method that utilizes a device consisting of a rotating rod the speed of which is mechanically driven and precisely controlled, for instance held constant or accelerated. The rotarod test is often used to measure riding time or endurance in order to evaluate balance, motor coordination or grip strength.",,,FALSE,http://purl.obolibrary.org/obo/MMO_0000567,assay,,,,Rotarod_Performance_Test,Class,Assay,Assay,Behavioral_Assay,,,
mRNAcounts,A mRNA profiling assay using digital molecular barcoding technology to quantify target mRNA molecules without the need for amplification.,,,FALSE,Sage Bionetworks,assay,,,,MRNA_Counts,Class,Assay,Assay,RNA_Assay,,,
high content screen,An image analysis technique combining automated fluorescence microscopy with multi-parameter quantitative image analysis for the large scale study of cells (cellomics).,,,FALSE,http://www.ebi.ac.uk/efo/EFO_0007550,assay,,,,High_Content_Screen,Class,Assay,Assay,Imaging_Assay,,,
Immunocytochemistry,The branch of immunochemistry dealing with cells and cellular activity; the application of immunochemical techniques to cytochemistry.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C17731,assay,,,,Immunocytochemistry,Class,Assay,Assay,Immuno_Assay,,,
immunofluorescence,An immunological procedure in which the antibodies are coupled with molecules which fluoresce under ultra violet (UV) light. This makes them particularly suitable for detection of specific antigens in tissues or on cells.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C17370,assay,,,,Immunofluorescence,Class,Assay,Assay,Immuno_Assay,,,
autoradiography,A radioactivity detection technique using X- ray film to visualize molecules or fragments of molecules that have been radioactively labeled.,,,FALSE,http://purl.obolibrary.org/obo/ERO_0000716,assay,,,,Autoradiography,Class,Assay,Assay,Radio_Assay,,,
reporter gene assay,"Reporter gene assay measures the gene expression from a reporter gene. The reporter gene is inserted under the control of a foreign promoter or an artificial regulatory element of interest. Reporters include luciferase, beta galactosidase, beta lactamase, chloramphenicol acetyl transferase, or a fluorescent protein.",,,FALSE,http://purl.obolibrary.org/obo/OBI_0002082,assay,,,,Reporter_Gene_Assay,Class,Assay,Assay,RNA_Assay,,,
electrochemiluminescence,"A method in which electromagnetic radiation, in the form of light emission, is generated from an electrochemical reaction in a solution.",,,FALSE,http://purl.obolibrary.org/obo/NCIT_C111193,assay,,,,Electrochemiluminescence,Class,Assay,Assay,RNA_Assay,,,
Real Time PCR,An application of PCR that measures the products generated during each cycle of the polymerase chain reaction process in order to determine the starting amount of template in the reaction.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C51962,assay,,,,Real_Time_PCR,Class,Assay,Assay,RNA_Assay,,,
in vivo tumor growth,"The growth of a tumor measured using calipers, ruler, or another similar measurement device. See also """"in vivo bioluminescence"""".",,,FALSE,Sage Bionetworks,assay,,,,In_Vivo_Tumor_Growth,Class,Assay,Assay,Volume_Measurement_Assay,,,
Blood Chemistry Measurement,The determination of the measured concentrations of chemical constituents of the blood by assay in a clinical laboratory.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C47868,assay,,,,Blood_Chemistry_Measurement,Class,Assay,Assay,Clinical_Assay_Template,,,
in vivo bioluminescence,An imaging assay that allows detection of bioluminescence from a living organism or organisms.,,,FALSE,http://purl.obolibrary.org/obo/ERO_0000651,assay,,,,In_Vivo_Bioluminescence,Class,Assay,Assay,Imaging_Assay,,,
immunohistochemistry,An immunostaining assay to detect and potentially localize antigens within the cells of a tissue section,,,FALSE,http://purl.obolibrary.org/obo/OBI_0001986,assay,,,,Immunohistochemistry,Class,Assay,Assay,Immuno_Assay,,,
NOMe-Seq,Nucleosome Occupancy and Methylome Sequencing,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C106053,assay,,,,NOMe-Seq,Class,Assay,Assay,Epigenetics_Assay,,,
FIA-MSMS,Flow injection analysis - tandem mass spectrometer,,,FALSE,https://www.ncbi.nlm.nih.gov/pubmed/28667829,assay,,,,FIA-MSMS,Class,Assay,Assay,Proteomics_Assay,,,
UPLC-MSMS,Ultra performance liquid chromatography - tandem mass spectrometer.,,,FALSE,https://www.wur.nl/en/show/Ultra-performance-liquid-chromatography-tandem-mass-spectrometer-UPLCMSMS.htm,assay,,,,UPLC-MSMS,Class,Assay,Assay,Proteomics_Assay,,,
HPLC-MSMS,"An analytical technique wherein high performance liquid chromatography is coupled to tandem mass spectrometry in order to separate, identify, and quantify substances in a sample.",,,FALSE,http://purl.obolibrary.org/obo/NCIT_C120691,assay,,,,HPLC-MSMS,Class,Assay,Assay,Proteomics_Assay,,,
liquid chromatography-electrochemical detection,"A liquid chromatography method that is sensitive to compounds which can be either reduced or oxidised. The mobile phase passes directly over the working electrode, which is set to the specific potential required for oxidation or reduction. The current produced is then measured.",,,FALSE,http://purl.obolibrary.org/obo/CHMO_0001746,assay,,,,Liquid_Chromatography-Electrochemical_Detection,Class,Assay,Assay,Proteomics_Assay,,,
rnaSeq,RNA Sequencing measurements,,,FALSE,http://purl.obolibrary.org/obo/OBI_0001271,assay,,,,RNA-Seq,Class,Assay,Assay,RNA_Assay,,,
mirnaSeq,Small RNA measurements collected from RNA-Seq experiments,,,FALSE,http://purl.obolibrary.org/obo/OBI_0002112,assay,,,,MiRNA-Seq,Class,Assay,Assay,RNA_Assay,,,
LC-MSMS,A method where a sample mixture is first separated by liquid chromatography before being ionised and characterised by mass-to-charge ratio and relative abundance using two mass spectrometers in series,,,FALSE,http://purl.obolibrary.org/obo/CHMO_0000701,assay,,,,LC-MSMS,Class,Assay,Assay,Proteomics_Assay,,,
LC-MS,A method where a sample mixture is first separated by liquid chromatography before being converted into ions which are characterised by their mass-to-charge ratio and relative abundance,,,FALSE,http://purl.obolibrary.org/obo/CHMO_0000524,assay,,,,LC-MS,Class,Assay,Assay,Proteomics_Assay,,,
lncrnaSeq,Long non-coding RNA measurements collected from RNA-Seq experiments,,,FALSE,,assay,,,,LCRNA-Seq,Class,Assay,Assay,RNA_Assay,,,
Whole Exome Sequencing,A procedure that can determine the DNA sequence for all of the exons in an individual.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C101295,assay,,,,Whole_Exome_Sequencing,Class,Assay,Assay,DNA_Assay,,,
Sanger sequencing,"A DNA sequencing technique in which a mixture of deoxynucleosidetriphosphates (dNTPs) and chain-terminating dNTPs, which are radioactively or fluorescently labeled, are combined within the reaction mixture. Once the reaction is complete, the DNA strands are separated by size, and the labeled chain terminating dNTPs can be read in sequence by the investigator or by a machine.",,,FALSE,http://purl.obolibrary.org/obo/NCIT_C19641,assay,,,,Sanger_Sequencing,Class,Assay,Assay,DNA_Assay,,,
ChIPSeq,Chromatin immuno-precipitation followed by sequencing,,,FALSE,http://purl.obolibrary.org/obo/OBI_0000716,assay,,,,ChIP-Seq,Class,Assay,Assay,Epigenetics_Assay,,,
rnaArray,RNA measurements captured by array technology,,,FALSE,http://purl.obolibrary.org/obo/OBI_0001463,assay,,,,RNA_Array,Class,Assay,Assay,RNA_Assay,,,
snpArray,SNP measurements captured by array technology,,,FALSE,http://purl.obolibrary.org/obo/OBI_0001204,assay,,,,SNP_Array,Class,Assay,Assay,DNA_Assay,,,
methylationArray,Methylation data captured by array technology,,,FALSE,http://purl.obolibrary.org/obo/OBI_0001332,assay,,,,Methylation_Array,Class,Assay,Assay,Epigenetics_Assay,,,
mirnaArray,microRNA measurements captured by array technology,,,FALSE,http://purl.obolibrary.org/obo/OBI_0001335,assay,,,,MiRNA_Array,Class,Assay,Assay,RNA_Assay,,,
bisulfiteSeq,Methylation data captured by sequencing of DNA treated by a bisulfite-based chemical process,,,FALSE,http://purl.obolibrary.org/obo/OBI_0000748,assay,,,,Bisulfite_Seq,Class,Assay,Assay,Epigenetics_Assay,,,
ATACSeq,Open chromatin regions measured by sequencing DNA after assay for transposase-accessible chromatin (ATAC) treatment,,,FALSE,http://purl.obolibrary.org/obo/OBI_0002039,assay,,,,ATAC_Seq,Class,Assay,Assay,Epigenetics_Assay,,,
HI-C,Chromatin interactions detected by HI-C protocol,,,FALSE,http://www.ebi.ac.uk/efo/EFO_0007693,assay,,,,HI-C,Class,Assay,Assay,Epigenetics_Assay,,,
errBisulfiteSeq,Data for enriched reduced representation bisulfite sequencing data,,,FALSE,,assay,,,,Err_Bisulfite_Seq,Class,Assay,Assay,Bisulfite_Seq,,,
ISOSeq,Full isoform sequencing,,,FALSE,,assay,,,,ISO-Seq,Class,Assay,Assay,RNA_Assay,,,
westernBlot,A multistep process in which a mixture of proteins is separated by gel electrophoresis,,,FALSE,http://purl.obolibrary.org/obo/MMO_0000338,assay,,,,Western_Blot,Class,Assay,Assay,Proteomics_Assay,,,
wholeGenomeSeq,Laboratory technique to sequence the complete DNA sequence of an organism's genome at a single time,,,FALSE,http://edamontology.org/topic_3673,assay,,,,Whole_Genome_Seq,Class,Assay,Assay,DNA_Assay,,,
polymeraseChainReaction,"A rapid technique for in vitro amplification of specific DNA or RNA sequences, allowing small quantities of short sequences to be analyzed without cloning",,,FALSE,http://purl.obolibrary.org/obo/MMO_0000459,assay,,,,Polymerase_Chain_Reaction,Class,Assay,Assay,RNA_Assay,,,
cellViabilityAssay,This assay type measures the cellular state of living or dying by measuring an indicator of life or death,,,FALSE,http://www.bioassayontology.org/bao#BAO_0003009,assay,,,,Cell_Viability_Assay,Class,Assay,Assay,Cell_Assay,,,
2D Incucyte,Cell viability assay on a 2D monolayer model.,,,FALSE,,assay,,,,2D_Incucyte_Assay,Class,Assay,Assay,Cell_Viability_Assay,,,
2D CellTiter-Glo,Cell viability assay based on detection of ATP.,,,FALSE,https://www.promega.com/products/cell-health-assays/cell-viability-and-cytotoxicity-assays/celltiter_glo-2_0-assay/?catNum=G9241,assay,,,,2D_Cell_Titer_Glo_Assay,Class,Assay,Assay,Cell_Viability_Assay,,,
3D microtissue viability,Cell viability assay on a 3D microtissue model.,,,FALSE,https://www.ncbi.nlm.nih.gov/books/NBK343426/,assay,,,,3D_Microtissue_Viability_Assay,Class,Assay,Assay,Cell_Viability_Assay,,,
2D AlamarBlue fluorescence,"Cell viability assay based on detection of AlamarBlue (resazurin). Living cells reduce blue, non-fluorescent resazurin to the red, fluorescent molecule resorufin. The amount of fluorescence or absorbance is proportional to the number of living cells and corresponds to the cell’s metabolic activity. For the fluorescence-based assay, color change and fluorescence can be detected using 560/590 nm (excitation/emission).",,,FALSE,https://www.thermofisher.com/us/en/home/life-science/cell-analysis/fluorescence-microplate-assays/microplate-assays-cell-viability/alamarblue-assay-cell-viability.html,assay,,,,2D_AlamarBlue_Fluorescence,Class,Assay,Assay,Cell_Viability_Assay,,,
2D AlamarBlue absorbance,"Cell viability assay based on detection of AlamarBlue (resazurin). Living cells reduce blue, non-fluorescent resazurin to the red, fluorescent molecule resorufin.  The amount of fluorescence or absorbance is proportional to the number of living cells and corresponds to the cell’s metabolic activity. For the absorbance-based assay, absorbance can be read at 570 nm.",,,FALSE,https://www.thermofisher.com/us/en/home/life-science/cell-analysis/fluorescence-microplate-assays/microplate-assays-cell-viability/alamarblue-assay-cell-viability.html,assay,,,,2D_AlamarBlue_Absorbance,Class,Assay,Assay,Cell_Viability_Assay,,,
in vivo PDX viability,Assay to assess viability using PDX model.,,,FALSE,,assay,,,,In_Vivo_PDX_Viability_Assay,Class,Assay,Assay,Cell_Viability_Assay,,,
atomicForceMicroscopy,Microscopy which uses a sharp spike (known as a 'tip') mounted on the end of a cantilever to scan the surface of the specimen,,,FALSE,http://purl.obolibrary.org/obo/CHMO_0000113,assay,,,,Atomic_Force_Microscopy,Class,Assay,Assay,Imaging_Assay,,,
brightfieldMicroscopy,Microscopy where the specimen is illuminated with light transmitted from a source on the opposite side of the specimen from the objective,,,FALSE,http://purl.obolibrary.org/obo/CHMO_0000104,assay,,,,Brightfield_Microscopy,Class,Assay,Assay,Imaging_Assay,,,
tractionForceMicroscopy,An experimental method for determining the tractions on the surface of a biological cell by obtaining measurements of the surrounding displacement field within an in vitro extracellular matrix (ECM),,,FALSE,https://en.wikipedia.org/wiki/Traction_force_microscopy,assay,,,,Traction_Force_Microscopy,Class,Assay,Assay,Imaging_Assay,,,
Phase-Contrast Microscopy,A simple non-quantitative form of interference microscopy of great utility in visualising live cells. Small differences in optical path length due to differences in refractive index and thickness of structures are visualised as differences in light intensity.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C16857,assay,,,,Phase-Contrast_Microscopy,Class,Assay,Assay,Imaging_Assay,,,
nextGenerationTargetedSequencing,A type of next generation sequencing in which specific genes or portions of genes are targeted for sequencing using amplicon-based workflow.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C130177,assay,,,,NextGeneration_Targeted_Seq,Class,Assay,Assay,DNA_Assay,,,
MIB/MS,Kinomics assay using multiplexed kinase inhibitor beads and mass spectrometry (MIB/MS),,,FALSE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3328787/,assay,,,,MIB_MS,Class,Assay,Assay,Proteomics_Assay,,,
scCGIseq,"A method for genome-wide CpG island (CGI) methylation sequencing for single cells (scCGI-seq), combining methylation-sensitive restriction enzyme digestion and multiple displacement amplification for selective detection of methylated CGIs",,,FALSE,https://www.ncbi.nlm.nih.gov/pubmed/28126923,assay,,,,ScCGI_Seq,Class,Assay,Assay,Epigenetics_Assay,,,
MudPIT,MudPIT is a method for rapid and large-scale protein identification by multidimensional liquid chromatography associated with tandem mass spectrometry,,,FALSE,http://purl.obolibrary.org/obo/MI_0658,assay,,,,MudPIT,Class,Assay,Assay,Proteomics_Assay,,,
questionnaire,"A document with a set of printed or written questions with a choice of answers, devised for the purposes of a survey or statistical study.",,,FALSE,http://purl.obolibrary.org/obo/OBI_0001000,assay,,,,Questionnaire,Class,Assay,Assay,Behavioral_Assay,,,
DNA optical mapping,Fluorescent imaging of linearly extended DNA molecules to probe information patterns along the molecules,,,FALSE,https://doi.org/10.1016/j.copbio.2013.01.009,assay,,,,DNA_Optical_Mapping,Class,Assay,Assay,Imaging_Assay,,,
oxBS-Seq,Oxidative bisulfite sequencing (oxBS-Seq) to map 5-methylcytosine and 5-hydroxymethylcytosine,,,FALSE,http://www.ebi.ac.uk/efo/EFO_0008840,assay,,,,OxBS-Seq,Class,Assay,Assay,Epigenetics_Assay,,,
Ribo-Seq,Ribosome profiling (Ribo-Seq).,,,FALSE,http://www.ebi.ac.uk/efo/EFO_0008891,assay,,,,Ribo-Seq,Class,Assay,Assay,RNA-Seq,,,
Positron Emission Tomography,A technique for measuring the gamma radiation produced by collisions of electrons and positrons (anti-electrons) within living tissue.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C17007,assay,,,,Positron_Emission_Tomography,Class,Assay,Assay,Imaging_Assay,,,
RPPA,Reverse phase protein array (RPPA) is a an assay that measures multiple protein expression levels in a large number of biological samples simultaneously using high quality antibodies,,,FALSE,http://www.bioassayontology.org/bao#BAO_0010030,assay,,,,RPPA,Class,Assay,Assay,Proteomics_Assay,,,
ELISA,"A highly sensitive technique for detecting and measuring antigens or antibodies in a solution; the solution is run over a surface to which immobilized antibodies specific to the substance have been attached, and if the substance is present, it will bind to the antibody layer, and its presence is verified and visualized with an application of antibodies that have been tagged in some way.",,,FALSE,http://purl.obolibrary.org/obo/NCIT_C16553,assay,,,,ELISA,Class,Assay,Assay,Proteomics_Assay,,,
LTP,Any measurable or observable characteristic related to the persistent robust synaptic response induced by synchronous stimulation of pre- and postsynaptic cells.,,,FALSE,http://purl.obolibrary.org/obo/VT_0002207,assay,,,,LTP,Class,Assay,Assay,Electrophysiology_Assay,,,
LFP,An extracellular electrophysiology assay where a microelectrode is placed in the extracellular space of brain tissue to measure action potential and compared to an electrode either outside or inside that tissue.,,,FALSE,http://purl.obolibrary.org/obo/OBI_0002189,assay,,,,LFP,Class,Assay,Assay,Electrophysiology_Assay,,,
whole-cell patch clamp,"A patch-clamp assay where the electrode is left in place on the cell, as in cell-attached recordings, but the membrane patch has been perforated, providing access from the interior of the pipette to the intracellular space of the cell. Measurements made with this technique involve recording currents through multiple channels simultaneously, over the membrane of the entire cell.",,,FALSE,http://purl.obolibrary.org/obo/OBI_0002178,assay,,,,Whole-cell_Patch_Clamp,Class,Assay,Assay,Cell_Assay,,,
sandwich ELISA,"The sandwich ELISA measures the amount of antigen between two layers of antibodies. The antigens to be measured must contain at least two antigenic sites, capable of binding to antibody, since at least two antibodies act in the sandwich. So sandwich assays are restricted to the quantitation of multivalent antigens such as proteins or polysaccharides. Sandwich ELISAs for quantitation of antigens are especially valuable when the concentration of antigens is low and/or they are contained in high concentrations of contaminating protein.",,,FALSE,https://www.ebi.ac.uk/ols/ontologies/bao/terms?iri=http%3A%2F%2Fwww.bioassayontology.org%2Fbao%23BAO_0002421,assay,,,,Sandwich_ELISA,Class,Assay,Assay,ELISA,,,
Laser Speckle Imaging,"A noninvasive, non-scanning optical imaging technique that provides full-field visualization of blood flow to the tissue being imaged, which provides information about tissue perfusion and the efficiency of disease treatment.",,,FALSE,http://purl.obolibrary.org/obo/NCIT_C116492,assay,,,,Laser_Speckle_Imaging,Class,Assay,Assay,Imaging_Assay,,,
Genotyping,The determination of the DNA sequence of an individual.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C45447,assay,,,,Genotyping_Assay,Class,Assay,Assay,DNA_Assay,,,
TMT quantitation,"An isobaric labeling technique that uses tags containing four regions with the same total molecular weights and structure, so that during chromatographic or electrophoretic separation and in single MS mode, molecules labelled with different tags are indistinguishable.",,,FALSE,http://purl.obolibrary.org/obo/ERO_0002175,assay,,,,TMT_Quantitation,Class,Assay,Assay,Proteomics_Assay,,,
label free mass spectrometry,"A mass spectrometry assay that allows for measurement for endogenous targets in live cell assays, and eliminates the need for tags, dyes, or specialized reagents or engineered cells.",,,FALSE,http://purl.obolibrary.org/obo/ERO_0000708,assay,,,,Label_Free_Mass_Spectrometry,Class,Assay,Assay,Proteomics_Assay,,,
cell count,A procedure to determine the number of cells in a sample. Also used to mean the result of such a procedure.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C48938,assay,,,,Cell_Count,Class,Assay,Assay,Cell_Assay,,,
immunoAssay,Generic immunology assay,,immunoAssayType,FALSE,,assay,,,,Immuno_Assay,Class,Assay,Assay,Assay,,,
Conventional MRI,"Magnetic resonance imaging using standard protocols for high resolution structural and anatomic characterization, including T1 weighted, T2 weighted, fluid attenuated inversion recovery (FLAIR), and gadolinium-enhanced sequences. [  NCI  ]",,,FALSE,http://purl.obolibrary.org/obo/NCIT_C175525,assay,,,,Conventional_MRI,Class,Assay,Assay,MRI_Assay,,,
Functional MRI,The principle of functional MRI imaging is to take a series of images of an organ in quick succession and to statistically analyze the images for differences among them. Most commonly used in studies of brain function. [  NCI  ],,,FALSE,http://purl.obolibrary.org/obo/NCIT_C17958,assay,,,,Functional_MRI,Class,Assay,Assay,MRI_Assay,,,
Magnetic Resonance Spectroscopy,Detection and measurement of the resonant spectra of molecular species in a tissue or sample.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C16810,assay,,,,Magnetic_Resonance_Spectroscopy,Class,Assay,Assay,Radio_Assay,,,
FTIR Spectroscopy,"Fourier transform infrared (FTIR) spectroscopy is a technique used to obtain an infrared spectrum of absorption or emission of a solid, liquid or gas. An FTIR spectrometer simultaneously collects high-resolution spectral data over a wide spectral range.",,,FALSE,http://purl.obolibrary.org/obo/CHMO_0000636,assay,,,,FTIR_Spectroscopy,Class,Assay,Assay,Proteomics_Assay,,,
