Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
channel,Fluorescent color labeling for an array,"Cy5, Cy3","",TRUE,"",array,,"","",Channel,"",Assay,Assay_Parameter,"","","",""
photograph,An image recorded by a camera.,"","",FALSE,http://purl.obolibrary.org/obo/NCIT_C86035,assay,,"","",Photograph,"",Assay,Assay_Parameter,"","","",""
MRISequence,The scanning sequence/modality that is used for a conventional MRI scan.,"T1-weighted,T2-weighted,PD-weighted,Short Tau Inversion Recovery","",FALSE,Sage Bionetworks,experimentalData,,"","",MRI_Sequence,Class,Assay,Assay_Parameter,"","","",""
T1-weighted,"","","",FALSE,Sage Bionetworks,MRISequence,,"","",T1-weighted,Class,Assay,Assay_Parameter,MRI_Sequence,"","",""
T2-weighted,"","","",FALSE,Sage Bionetworks,MRISequence,,"","",T2-weighted,Class,Assay,Assay_Parameter,MRI_Sequence,"","",""
PD-weighted,"","","",FALSE,Sage Bionetworks,MRISequence,,"","",PD-weighted,Class,Assay,Assay_Parameter,MRI_Sequence,"","",""
Short Tau Inversion Recovery,"","","",FALSE,Sage Bionetworks,MRISequence,,"","",Short_Tau_Inversion_Recovery,Class,Assay,Assay_Parameter,MRI_Sequence,"","",""
Cy5,Fluorescent dye used for the red channel on an array,"","",FALSE,http://purl.obolibrary.org/obo/FBbi_00000450,channel,,"","",Cy5,Class,Assay,Assay_Parameter,Channel,"","",""
Cy3,Fluorescent dye used for the green channel on an array,"","",FALSE,http://purl.obolibrary.org/obo/FBbi_00000449,channel,,"","",Cy3,Class,Assay,Assay_Parameter,Channel,"","",""
overexpression,Gene overexpression refers to genetic techniques in which an organism or cell line is engineered to express increased levels of a gene.,"","",FALSE,http://www.bioassayontology.org/bao#BAO_0002442,genePerturbationType,,"","",overexpression,Class,Assay,Assay_Parameter,Gene_Perturbation,"","",""
knockdown,"Gene knockdown refers to techniques by which the expression of one or more of an organism's genes is reduced, either through genetic modification (a change in the DNA of one of the organism's chromosomes) or by treatment with a reagent such as a short DNA or RNA oligonucleotide with a sequence complementary to either an mRNA transcript or a gene.","","",FALSE,http://www.bioassayontology.org/bao#BAO_0002433,genePerturbationType,,"","",knockdown,Class,Assay,Assay_Parameter,Gene_Perturbation,"","",""
knockout,A gene knockout is a genetic technique in which an organism is engineered to carry genes that have been made inoperative (have been 'knocked out' of the organism).,"","",FALSE,http://www.bioassayontology.org/bao#BAO_0002441,genePerturbationType,,"","",knockout,Class,Assay,Assay_Parameter,Gene_Perturbation,"","",""
non-targeting control,"Use of a guide RNA that is designed to not target any gene in particular, used as a control for a targeting gRNA","","",FALSE,Sage Bionetworks,genePerturbationType,,"","",knockout,Class,Assay,Assay_Parameter,Gene_Perturbation,"","",""
fr-firststrand,"","","",FALSE,"","",,"","",Fr-firststrand,Class,Assay,Assay_Parameter,NGS_Parameter,Read_Pair_Orientation,"",""
TruSeq standard total RNA library kit,"","","",FALSE,https://www.illumina.com/products/by-type/sequencing-kits/library-prep-kits/truseq-stranded-total-rna.html,"",,"","",Library_Prep_Tru_Seq,Class,Assay,Assay_Parameter,Library_Prep,"","",""
10x,10x Genomics library preparation,"","",FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,libraryPreparationMethod,,"","",Library_Prep_10x,Class,Assay,Assay_Parameter,Library_Prep,"","",""
CEL-seq,CEL-Seq library preparation,"","",FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,libraryPreparationMethod,,"","",CEL-seq,Class,Assay,Assay_Parameter,Library_Prep,"","",""
Drop-Seq,Drop-Seq library preparation,"","",FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,libraryPreparationMethod,,"","",Drop-Seq,Class,Assay,Assay_Parameter,Library_Prep,"","",""
Smart-seq2,Smart-seq 2 library preparation,"","",FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,libraryPreparationMethod,,"","",Smart-seq2,Class,Assay,Assay_Parameter,Library_Prep,"","",""
TruSeq,TruSeq library preparation,"","",FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,libraryPreparationMethod,,"","",TruSeq,Class,Assay,Assay_Parameter,Library_Prep,"","",""
Smart-seq4,Smart-seq4 library preparation,"","",FALSE,https://www.takarabio.com/products/next-generation-sequencing/single-cell-rna-and-dna-seq/smart-seq-v4-for-mrna-seq,libraryPreparationMethod,,"","",Smart-seq4,Class,Assay,Assay_Parameter,Library_Prep,"","",""
Omni-ATAC,Omni-ATAC-seq library preparation,"","",FALSE,https://protocolexchange.researchsquare.com/article/nprot-6107/v1,libraryPreparationMethod,,"","",Omni-ATAC,Class,Assay,Assay_Parameter,Library_Prep,"","",""
NEBNext mRNA Library Prep Reagent Set for Illumina,NEBNext mRNA Library Prep Reagent Set for Illumina,"","",FALSE,https://www.neb.com/products/e6100-nebnext-mrna-library-prep-reagent-set-for-illumina,libraryPreparationMethod,,"","",NEBNext_mRNA_Library_Prep_Reagent_Set_Illumina,Class,Assay,Assay_Parameter,Library_Prep,"","",""
IDT xGen Exome Research Panel,"","","",FALSE,https://www.idtdna.com/pages/products/next-generation-sequencing/targeted-sequencing/hybridization-capture/predesigned-panels/xgen-exome-research-panel-v2,libraryPreparationMethod,,"","",IDT_xGen_Exome_Research_Panel,Class,Assay,Assay_Parameter,Library_Prep,"","",""
Illumina TruSeq DNA Nano,"","","",FALSE,Sage Bionetworks,libraryPreparationMethod,,"","",Illumina_TruSeq_DNA_Nano,Class,Assay,Assay_Parameter,Library_Prep,"","",""
KAPA HyperPrep Kit PCR-free,KAPA HyperPrep Kits offer a streamlined library preparation protocol that combines several enzymatic steps and eliminates bead cleanups to significantly reduce library preparation time and improve consistency.,"","",FALSE,https://sequencing.roche.com/en/products-solutions/products/sample-preparation/dna-reagents/library-preparation/kapa-hyperprep/ordering.html,libraryPreparationMethod,,"","",KAPA HyperPrep Kit PCR-free,Class,Assay,Assay_Parameter,Library_Prep,"","",""
KAPA RNA HyperPrep Kit with RiboErase (HMR),"The KAPA RNA HyperPrep Kits utilize novel chemistry that enables the combination of enzymatic steps and fewer reaction purifications, resulting in a truly streamlined solution for the preparation of high-quality RNA-seq libraries.","","",FALSE,https://rochesequencingstore.com/catalog/kapa-rna-hyperprep-kit-with-riboerase-hmr/,libraryPreparationMethod,,"","",KAPA RNA HyperPrep Kit with RiboErase (HMR),Class,Assay,Assay_Parameter,Library_Prep,"","",""
GTAC@WUSTL in-house prep,"Non-stranded library prep that uses a TruSeq-like (in-house) library design (includes cDNA generation, end-repair, A-tailing, ligation, and PCR amplification with unique dual indexing)","","",FALSE,WUSTL,libraryPreparationMethod,,"","",GTAC@WUSTL in-house prep,Class,Assay,Assay_Parameter,Library_Prep,"","",""
bulk cell,All cells from bulk sample,"","",FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,nucleicAcidSource,,"","",bulk_cell,Class,Assay,Assay_Parameter,Nucleic_Acid_Source,"","",""
single cell,Single cell,"","",FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,nucleicAcidSource,,"","",single_cell,Class,Assay,Assay_Parameter,Nucleic_Acid_Source,"","",""
bulk nuclei,All nuclei from bulk sample,"","",FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,nucleicAcidSource,,"","",bulk_nuclei,Class,Assay,Assay_Parameter,Nucleic_Acid_Source,"","",""
single nucleus,Single nuclei,"","",FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,nucleicAcidSource,,"","",single_nucleus,Class,Assay,Assay_Parameter,Nucleic_Acid_Source,"","",""
mitochondria,Mitochondria only,"","",FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,nucleicAcidSource,,"","",Mitochondria,Class,Assay,Assay_Parameter,Nucleic_Acid_Source,"","",""
cell lysate,a cell lysate is a material entity which is output of a cell lysis process,"","",TRUE,http://purl.obolibrary.org/obo/OBI_1000036,proteinExtractSource,,"","","",Class,Assay,Assay_Parameter,Protein_Extract_Source,Cellular_Component,"",""
nuclear extract,Nuclear extracts contain proteins in nuclear compartment of the cell,"","",FALSE,http://purl.obolibrary.org/obo/NCIT_C19832,proteinExtractSource,,"","","",Class,Assay,Assay_Parameter,Protein_Extract_Source,Cellular_Component,"",""
mitochondria,Mitochondria only,"","",FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,proteinExtractSource,,"","","",Class,Assay,Assay_Parameter,Protein_Extract_Source,Cellular_Component,"",""
cytoplasm,That portion of the cell contained within the plasma membrane but excluding the nucleus.,"","",FALSE,http://purl.obolibrary.org/obo/NCIT_C13226,proteinExtractSource,,"","","",Class,Assay,Assay_Parameter,Protein_Extract_Source,Cellular_Component,"",""
1,One of a pair of sequencing reads in which the two members of the pair are related by originating at either end of a clone insert.,"","",FALSE,http://purl.obolibrary.org/obo/SO_0000007,readPair,,"","",Paired_End_1,Class,Assay,Assay_Parameter,Read_Pair,"","",""
2,One of a pair of sequencing reads in which the two members of the pair are related by originating at either end of a clone insert.,"","",FALSE,http://purl.obolibrary.org/obo/SO_0000007,readPair,,"","",Paired_End_2,Class,Assay,Assay_Parameter,Read_Pair,"","",""
inward,Reads face each other,"","",FALSE,Sage Bionetworks,readPairOrientation,,"","",Inward_Read,Class,Assay,Assay_Parameter,Read_Pair_Orientation,"","",""
outward,Reads face away from each other,"","",FALSE,Sage Bionetworks,readPairOrientation,,"","",Outward_Read,Class,Assay,Assay_Parameter,Read_Pair_Orientation,"","",""
matching,Reads face the same direction,"","",FALSE,Sage Bionetworks,readPairOrientation,,"","",Matching_Read,Class,Assay,Assay_Parameter,Read_Pair_Orientation,"","",""
forward,Read 1 (or unpaired read) comes from the forward strand and read 2 (if applicable) comes from the reverse strand; equivalent to Tophat 'fr-secondstrand' type,"","",FALSE,Sage Bionetworks,readStrandOrigin,,"","",Forward_Read,Class,Assay,Assay_Parameter,Read_Strand_Origin,"","",""
reverse,read 1 (or unpaired read) comes from the reverse strand and read 2 (if applicable) comes from the forward strand; equivalent to Tophat 'fr-firststrand' type,"","",FALSE,Sage Bionetworks,readStrandOrigin,,"","",Reverse_Read,Class,Assay,Assay_Parameter,Read_Strand_Origin,"","",""
singleEnd,A library preparation that results in the creation of a library of 5' ends of DNA.,"","",FALSE,Sage Bionetworks,runType,,"","",Single_End,Class,Assay,Assay_Parameter,Run_Type,"","",""
pairedEnd,A library preparation that results in the creation of a library of the 5' and 3' ends of DNA or cDNA fragments using adaptors and endonucleases. The preparation may or may not include cloning process.,"","",FALSE,http://purl.obolibrary.org/obo/OBI_0001852,runType,,"","",Paired_End,Class,Assay,Assay_Parameter,Run_Type,"","",""
