Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
scale,An instrument or machine for weighing.,,,FALSE,http://purl.obolibrary.org/obo/MMO_0000217,assay,,,,Scale,Class,Assay,Platform,Platform,,,
Olympus DP80,Dual-Sensor Monochrome and Color Camera,,,FALSE,https://www.olympus-lifescience.com/en/camera/color/dp80/,platform,,,,Olympus_DP80,Class,Assay,Platform,Platform,,,
Orbitrap Fusion Lumos Tribrid,Thermo Scientific Orbitrap Fusion Lumos Tribrid Mass Spectrometer,,,FALSE,https://www.thermofisher.com/us/en/home/industrial/mass-spectrometry/liquid-chromatography-mass-spectrometry-lc-ms/lc-ms-systems/orbitrap-lc-ms/orbitrap-tribrid-mass-spectrometers/orbitrap-fusion-lumos-mass-spectrometer.html,platform,,,,Orbitrap_Fusion_Lumos_Tribrid,Class,Assay,Platform,Platform,,,
Spectramax M Series,A Spectramax M Series Microplate Reader,,,FALSE,https://www.moleculardevices.com/products/microplate-readers/multi-mode-readers/spectramax-m-series-readers,platform,,,,Spectramax_M_Series,Class,Assay,Platform,Platform,,,
LI-COR Odyssey CLx,A LI-COR Odyssey CLx imaging system,,,FALSE,https://www.licor.com/bio/odyssey-clx/,platform,,,,LI-COR_Odyssey_Clx,Class,Assay,Platform,Platform,,,
Q Exative HF,Thermo scientific Q Exative,,,FALSE,http://purl.obolibrary.org/obo/MS_10025223,platform,,,,Q_Exative_HF,Class,Assay,Platform,Platform,,,
Illumina HiSeq 3000,Illumina HiSeq 3000,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL21290,platform,,,,HiSeq3000,Class,Assay,Platform,Platform,,,
Illumina HiSeq 2500,Illumina HiSeq 2500,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL16791,platform,,,,HiSeq2500,Class,Assay,Platform,Platform,,,
Illumina HiSeq 4000,Illumina HiSeq 4000,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL20301,platform,,,,HiSeq4000,Class,Assay,Platform,Platform,,,
Illumina NextSeq 500,Illumina NextSeq 500,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL18573,platform,,,,NextSeq500,Class,Assay,Platform,Platform,,,
Illumina NextSeq 550,Illumina NextSeq 550,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL21697,platform,,,,NextSeq 550,Class,Assay,Platform,Platform,,,
Illumina NextSeq 1000,Illumina NextSeq 1000,,,FALSE,,platform,,,,NextSeq 1000,Class,Assay,Platform,Platform,,,
Illumina NextSeq 2000,Illumina NextSeq 2000,,,FALSE,,platform,,,,NextSeq 2000,Class,Assay,Platform,Platform,,,
Illumina HiSeq 2000,Illumina HiSeq 2000,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL11154,platform,,,,HiSeq2000,Class,Assay,Platform,Platform,,,
Illumina MiSeq,Illumina MiSeq,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL15520,platform,,,,MiSeq,Class,Assay,Platform,Platform,,,
Zeiss LSM 980,A Zeiss Confocal Microscope,,,FALSE,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwirj4XuwtXsAhVBrp4KHVZyARIQFjABegQIAhAC&url=https%3A%2F%2Fzeiss.ly%2Flsm980-info&usg=AOvVaw0rD50U0aMwfvt4bdfW0Yjd,platform,,,,Zeiss LSM 980,Class,Assay,Platform,Platform,,,
Affymetrix Genome-Wide Human SNP 5.0 Array,Affymetrix Genome-Wide Human SNP 5.0 Array,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL6804,platform,,,,Affy5.0,Class,Assay,Platform,Platform,,,
Affymetrix Genome-Wide Human SNP 6.0 Array,Affymetrix Genome-Wide Human SNP 6.0 Array,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL6801,platform,,,,Affy6.0,Class,Assay,Platform,Platform,,,
PacBio RS II,PacBio RS II,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL21311,platform,,,,PacBioRSII,Class,Assay,Platform,Platform,,,
Illumina Genome Analyzer IIx,Illumina Genome Analyzer IIx,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL16061,platform,,,,GAIIx,Class,Assay,Platform,Platform,,,
Illumina HumanOmni1-Quadv1.0,,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL24663,platform,,,,Illumina_HumanOmni1-Quadv1.0,Class,Assay,Platform,Platform,,,
Illumina 1M,,,,FALSE,,platform,,,,Illumina_1M,Class,Assay,Platform,Platform,,,
Illumina h650,,,,FALSE,,platform,,,,Illumina_h650,Class,Assay,Platform,Platform,,,
Illumina Omni2pt5M,,,,FALSE,,platform,,,,Illumina_Omni2pt5M,Class,Assay,Platform,Platform,,,
Illumina Omni5M,,,,FALSE,,platform,,,,Illumina_Omni5M,Class,Assay,Platform,Platform,,,
Illumina MouseWG-6 v2.0 expression beadchip,Whole-genome expression profiling in the mouse,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL6887,platform,,,,Illumina MouseWG-6_v2.0_expression_beadchip,Class,Assay,Platform,Platform,,,
Perlegen 300Karray,,,,FALSE,,platform,,,,Perlegen300Karray,Class,Assay,Platform,Platform,,,
Agilent 44Karray,,,,FALSE,,platform,,,,Agilent44Karray,Class,Assay,Platform,Platform,,,
Illumina WholeGenome DASL,Illumina Human Whole-Genome DASL HT,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL13369,platform,,,,IlluminaWholeGenomeDASL,Class,Assay,Platform,Platform,,,
Illumina HumanHap300,,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL6083,platform,,,,IlluminaHumanHap300,Class,Assay,Platform,Platform,,,
Nanostring Counter,,,,FALSE,,platform,,,,NanostringCounter,Class,Assay,Platform,Platform,,,
LTQ Orbitrap XL,LTQ Orbitrap XL Hybrid Ion Trap-Orbitrap Mass Spectrometer,,,FALSE,https://www.thermofisher.com/order/catalog/product/IQLAAEGAAPFADBMAOK,platform,,,,LTQ_Orbitrap_XL,Class,Assay,Platform,Platform,,,
Illumina HumanMethylation450,Illumina HumanMethylation450 BeadChip,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL13534,platform,,,,IlluminaHumanMethylation450,Class,Assay,Platform,Platform,,,
Illumina Infinium MethylationEPIC BeadChip,"An Illumina methylation BeadChip which is an array that interrogates ~ 850,000 methylation sites per sample at single-nucleotide resolution.",,,FALSE,http://purl.obolibrary.org/obo/OBI_0002131,platform,,,,Illumina Infinium MethylationEPIC_BeadChip,Class,Assay,Platform,Platform,,,
Affymetrix U133AB,,,,FALSE,,platform,,,,AffymetrixU133AB,Class,Assay,Platform,Platform,,,
Affymetrix Human Gene 1.0 ST Array,Affymetrix Human Gene 1.0 ST Array [transcript (gene) version] in situ oligonucleotide,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL6244,platform,,,,Affymetrix_Human_Gene_1.0_ST_Array,Class,Assay,Platform,Platform,,,
Affymetrix Human Genome U133 Plus 2.0 Array,Affymetrix Human Genome U133 Plus 2.0 Array,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL570,platform,,,,AffymetrixU133Plus2,Class,Assay,Platform,Platform,,,
Illumina HiSeq X,Illumina HiSeq X Platform for whole-genome sequencing,,,FALSE,https://www.illumina.com/systems/sequencing-platforms/hiseq-x.html,platform,,,,HiSeqX,Class,Assay,Platform,Platform,,,
Bionano Irys,Performs whole genome mapping in a nanoscale fluidic environment enabling the structure of the genome to be imaged and then analyzed at the single molecule level,,,FALSE,https://bionanogenomics.com/products/irys/,platform,,,,Bionano_Irys,Class,Assay,Platform,Platform,,,
Infinium HumanOmniExpressExome,Infinium HumanOmniExpressExome BeadChip,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL18224,platform,,,,Infinium_HumanOmniExpressExome,Class,Assay,Platform,Platform,,,
