Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
drugScreenType,String describing general class of drug screen,"singleMolecule, smallMoleculeLibraryScreen, combinationLibraryScreen, combinationScreen",,FALSE,,compoundScreen,,,,drugScreenType,Property,Assay,annotationProperty,,,,
assay,The technology used to generate the data in this file,"elevated plus maze test, open field test, rotarod performance test, mRNAcounts, high content screen, Immunocytochemistry, immunofluorescence, autoradiography, electrochemiluminescence, Real Time PCR, in vivo tumor growth, scale, Blood Chemistry Measurement, in vivo bioluminescence, immunohistochemistry, NOMe-Seq, FIA-MSMS, UPLC-MSMS, HPLC-MSMS, liquid chromatography-electrochemical detection, rnaSeq, mirnaSeq, LC-MSMS, LC-MS, lncrnaSeq, Whole Exome Sequencing, Sanger sequencing, ChIPSeq, rnaArray, snpArray, methylationArray, mirnaArray, bisulfiteSeq, ATACSeq, HI-C, errBisulfiteSeq, ISOSeq, westernBlot, wholeGenomeSeq, polymeraseChainReaction, cellViabilityAssay, atomicForceMicroscopy, brightfieldMicroscopy, tractionForceMicroscopy, nextGenerationTargetedSequencing, jumpingLibrary, MIB/MS, scCGIseq, MudPIT, questionnaire, DNA optical mapping, oxBS-Seq, Ribo-Seq, Positron Emission Tomography, RPPA, ELISA, LTP, LFP, whole-cell patch clamp, sandwich ELISA, Laser Speckle Imaging, Genotyping, TMT quantitation, label free mass spectrometry, cell count, reporter gene assay, Single Cell RNA Sequencing, Conventional MRI, Functional MRI, Magnetic Resonance Spectroscopy, 2D Incucyte, 2D CellTiter-Glo, 3D microtissue viability, in vivo PDX viability, 2D AlamarBlue fluorescence, 2D AlamarBlue absorbance, rheometry, FTIR Spectroscopy, differential scanning calorimetry, Gel filtration chromatography, Massively Parallel Reporter Assay",,TRUE,,experimentalData,,,,assayType,Property,Assay,annotationProperty,,Assay,one,
platform,"A sequencing platform, microscope, spectroscope/plate reader, or other platform for collecting data. ","HiSeq3000, HiSeq2500, HiSeq4000, NextSeq500, HiSeq2000, MiSeq, Zeiss LSM 980, Affy5.0, Affy6.0, PacBioRSII, GAIIx, Illumina_HumanOmni1-Quadv1.0, Illumina_1M, Illumina_h650, Illumina_Omni2pt5M, Illumina_Omni5M, Illumina MouseWG-6 v2.0 expression beadchip, Perlegen300Karray, Agilent44Karray, IlluminaWholeGenomeDASL, IlluminaHumanHap300, NanostringnCounter, LTQOrbitrapXL, IlluminaHumanMethylation450, Illumina Infinium MethylationEPIC BeadChip, AffymetrixU133AB, Affymetrix Human Gene 1.0 ST Array, AffymetrixU133Plus2, HiSeqX, Bionano Irys, Infinium HumanOmniExpressExome, NextSeq 550, NextSeq 1000, NextSeq 2000, PacBio Sequel IIe System, PacBio Sequel II System, NanostringGeoMx, LI-COR Odyssey CLx, Spectramax M Series, Olympus DP80, Orbitrap Fusion Lumos Tribrid, Illumina NovaSeq 6000, Chromium X,EnVision 2103 Multiplate Reader",,FALSE,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group&anchor=platform,experimentalData,,,,platform,Property,Assay,annotationProperty,,Platform,,
libraryID,,,,TRUE,,experimentalData,,,,libraryID,Property,Assay,annotationProperty,,,,
assayTarget,The HUGO gene symbol that represents the target analyte assayed.,,,FALSE,Sage Bionetworks,experimentalData,,,,assayTarget,Property,Assay,annotationProperty,,,,
proteinExtractSource,Source of the extracted protein used in the experiment,"cell lysate, nuclei, mitochondria, cytoplasm",,TRUE,http://purl.obolibrary.org/obo/OBI_0000894,experimentalData,,,,proteinExtractSource,Property,Assay,annotationProperty,,,,
reporterGene,"A biological material (clone, oligo, etc.) on an array which will report on some biosequence or biosequences.",,,FALSE,,experimentalData,,,,reporterGene,Property,Assay,annotationProperty,,,,
reporterSubstance,A gene which produces an easily assayed phenotype. Often used for expression studies of heterologous promoters.,,,FALSE,,experimentalData,,,,reporterSubstance,Property,Assay,annotationProperty,,,,
immunoAssayType,Type of immuno assay,"ChIPseq, ATAC-seq",,TRUE,,immunoAssay,,,,immunoAssayType,Property,Assay,annotationProperty,,,,
runType,Is the sequencing run single or paired end?,"singleEnd, pairedEnd","readPair,isStranded,readPairOrientation,readStrandOrigin,readLength,readDepth",FALSE,Sage Bionetworks,ngs,,,,runType,Property,Assay,annotationProperty,ngsParameter,Run_Type,,
