Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
head,The head is the anterior-most division of the body.,"","",FALSE,http://purl.obolibrary.org/obo/UBERON_0000033,bodyPart,,"","",Head,Class,Biosample,Body_Part,Body_Part,"","",""
lymph node,A bean-shaped organ surrounded by a connective tissue capsule.,"","",FALSE,http://purl.obolibrary.org/obo/NCIT_C12745,organ,,"","",Lymph_Node,Class,Biosample,Body_Part,Organ,"","",""
kidney,One of the two bean-shaped organs located on each side of the spine in the retroperitoneum.,"","",FALSE,http://purl.obolibrary.org/obo/NCIT_C12415,organ,,"","",Kidney,Class,Biosample,Body_Part,Organ,"","",""
skin,The integument of an animal (as a fur-bearing mammal or a bird) separated from the body usually with its hair or feathers.,"","",FALSE,http://purl.obolibrary.org/obo/BTO_0001253,organ,,"","",Skin,Class,Biosample,Body_Part,Organ,"","",""
mammary gland,"A specialized accessory gland of the skin of mammals that secretes milk. The gland is typically only developed in females, and regresses in males.","","",FALSE,http://purl.obolibrary.org/obo/UBERON_0001911,organ,,"","",Mammary_Gland,Class,Biosample,Body_Part,Organ,"","",""
nerves,"Any of the filamentous bands of nervous tissue that connect parts of the nervous system with the other organs, conduct nervous impulses, and are made up of axons and dendrites together with protective and supportive structures.","","",FALSE,http://purl.obolibrary.org/obo/BTO_0000925,organ,,"","",Nerves,Class,Biosample,Body_Part,Organ,"","",""
brain,The portion of the vertebrate central nervous system that constitutes the organ of thought and neural coordination.,"","",FALSE,http://purl.obolibrary.org/obo/BTO_0000142,organ,,"","",Brain,Class,Biosample,Body_Part,Organ,"","",""
blood,"The fluid that circulates in the heart, arteries, capillaries, and veins of a vertebrate animal carrying nourishment and oxygen to and bringing away waste products from all parts of the body.","","",FALSE,http://purl.obolibrary.org/obo/BTO_0000089,organ,,"","",Blood,Class,Biosample,Body_Part,Organ,"","",""
breast,The fore or ventral part of the body between the neck and the abdomen.,"","",FALSE,http://purl.obolibrary.org/obo/BTO_0000149,organ,,"","",Breast,Class,Biosample,Body_Part,Organ,"","",""
colon,The part of the large intestine that extends from the cecum to the rectum.,"","",FALSE,http://purl.obolibrary.org/obo/BTO_0000269,organ,,"","",Colon,Class,Biosample,Body_Part,Organ,"","",""
lung,One of the usually paired compound saccular thoracic organs that constitute the basic respiratory organ of air-breathing vertebrates.,"","",FALSE,http://purl.obolibrary.org/obo/BTO_0000763,organ,,"","",Lung,Class,Biosample,Body_Part,Organ,"","",""
prostate,Lobular organ the parenchyma of which has as its parts glandular acini which are continuous with the prostatic part of the urethra.,"","",FALSE,http://purl.obolibrary.org/obo/FMA_9600,organ,,"","",Prostate,Class,Biosample,Body_Part,Organ,"","",""
pancreas,A large lobulated gland of vertebrates that secretes digestive enzymes and the hormones insulin and glucagon.,"","",FALSE,http://purl.obolibrary.org/obo/BTO_0000988,organ,,"","",Pancreas,Class,Biosample,Body_Part,Organ,"","",""
ovary,One of the typically paired essential female reproductive organs that produce eggs and in vertebrates female sex hormones.,"","",FALSE,http://purl.obolibrary.org/obo/BTO_0000975,organ,,"","",Ovary,Class,Biosample,Body_Part,Organ,"","",""
spleen,"A highly vascular ductless organ that is located in the left abdominal region near the stomach or intestine of most vertebrates and is concerned with final destruction of red blood cells, filtration and storage of blood, and production of lymphocytes.","","",FALSE,http://purl.obolibrary.org/obo/BTO_0001281,organ,,"","",Spleen,Class,Biosample,Body_Part,Organ,"","",""
bone marrow,"The soft, fatty, vascular tissue that fills most bone cavities and is the source of red blood cells and many white blood cells.","","",FALSE,http://purl.obolibrary.org/obo/BTO_0000141,organ,,"","",Bone_Marrow,Class,Biosample,Body_Part,Organ,"","",""
Bursa Of Fabricius,"An epithelial outgrowth of lymphoid tissue in the cloaca of young birds, responsible for B-lymphocyte maturation. It undergoes atrophy and involution at six months of age.","","",FALSE,http://purl.obolibrary.org/obo/NCIT_C111141,organ,,"","",Bursa_Of_Fabricius,Class,Biosample,Body_Part,Organ,"","",""
nose,A structure of special sense serving as an organ of the sense of smell and as an entrance to the respiratory tract.,"","",FALSE,http://purl.obolibrary.org/obo/NCIT_C12756,organ,,"","",Nose,Class,Biosample,Body_Part,Organ,"","",""
Eye,The organ of sight or vision. [ NCI ],"","",FALSE,http://purl.obolibrary.org/obo/NCIT_C12401,organ,,"","",Eye,Class,Biosample,Body_Part,Organ,"","",""
mesentery,"","","",FALSE,"",organ,,"","",Mesentary,Class,Biosample,Body_Part,"","","",""
scalp,"","","",FALSE,"",bodyPart,,"","",Scalp,Class,Biosample,Body_Part,"","","",""
pelvis,"","","",FALSE,"",bodyPart,,"","",Pelvis,Class,Biosample,Body_Part,"","","",""
neck,"","","",FALSE,"",bodyPart,,"","",Neck,Class,Biosample,Body_Part,"","","",""
leg,"","","",FALSE,"",bodyPart,,"","",Leg,Class,Biosample,Body_Part,"","","",""
liver,"","","",FALSE,"",organ,,"","",Liver,Class,Biosample,Body_Part,"","","",""
axilla,"","","",FALSE,"",bodyPart,,"","",Axilla,Class,Biosample,Body_Part,"","","",""
acetabulum,"","","",FALSE,"",bodyPart,,"","",Acetabulum,Class,Biosample,Body_Part,"","","",""
forearm,"","","",FALSE,"",bodyPart,,"","",Forearm,Class,Biosample,Body_Part,"","","",""
muscle,"","","",FALSE,"",bodyPart,,"","",Muscle,Class,Biosample,Body_Part,"","","",""
finger,"","","",FALSE,"",bodyPart,,"","",Finger,Class,Biosample,Body_Part,"","","",""
thoracic spine,"","","",FALSE,http://purl.obolibrary.org/obo/UBERON_0006073,bodyPart,,"","",Thoracic_Spine,Class,Biosample,Body_Part,"","","",""
groin,Anatomically also known as the inguinal part of abdomen.,"","",FALSE,http://purl.obolibrary.org/obo/UBERON_0008337,bodyPart,,"","",Groin,Class,Biosample,Body_Part,"","","",""
back,Anatomically also known as the dorsum.,"","",FALSE,http://purl.obolibrary.org/obo/UBERON_0001137,bodyPart,,"","",Back,Class,Biosample,Body_Part,"","","",""
iliac spine,"","","",FALSE,http://purl.obolibrary.org/obo/UBERON_0013707,bodyPart,,"","",Iiiac_Spine,Class,Biosample,Body_Part,"","","",""
spine,"","","",FALSE,http://purl.obolibrary.org/obo/UBERON_0001130,bodyPart,,"","",Spine,Class,Biosample,Body_Part,"","","",""
shoulder,"","","",FALSE,"",bodyPart,,"","",Shoulder,Class,Biosample,Body_Part,"","","",""
scapula,"","","",FALSE,"",bodyPart,,"","",Scapula,Class,Biosample,Body_Part,"","","",""
