Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
C57BL/6J,C57BL/6 is the most widely used inbred strain. It is commonly used as a general purpose strain and background strain for the generation of congenics carrying both spontaneous and induced mutations.,"","",FALSE,https://www.jax.org/strain/000664,modelSystemName,,"","",C57BL/6J,Class,Biosample,Model_System,Mouse_Model,"","",""
NOD scid gamma,"These mice are most often referred to using their branded name NSG™ and are extremely immunodeficient.","","",FALSE,https://www.jax.org/strain/005557,modelSystemName,,"","",NOD_scid_gamma,Class,Biosample,Model_System,Mouse_Model,"","",""
NRG,"Extremely immunodeficient mice with a targeted knockout mutation in recombination activating gene 1 (Rag1) and a complete null allele of the IL2 receptor common gamma chain.","","",FALSE,https://www.jax.org/strain/007799,modelSystemName,,"","",NRG,Class,Biosample,Model_System,Mouse_Model,"","",""
B6;129S2-Trp53tm1Tyj Nf1tm1Tyj/J,"","","",FALSE,https://www.jax.org/strain/008191,modelSystemName,,"","",B6;129S2-Trp53tm1Tyj Nf1tm1Tyj/J,Class,Biosample,Model_System,Mouse_Model,"","",""
B6;129-Trp53tm1Tyj Nf1tm1Tyj Suz12Gt(Betageo)1Khe/KcichJ,"","","",FALSE,https://www.jax.org/strain/027678,modelSystemName,,"","",B6;129-Trp53tm1Tyj Nf1tm1Tyj Suz12Gt(Betageo)1Khe/KcichJ,Class,Biosample,Model_System,Mouse_Model,"","",""
B6.129S2-Nf1tm1Tyj/J,"","","",FALSE,https://www.jax.org/strain/008192,modelSystemName,,"","",B6.129S2-Nf1tm1Tyj/J,Class,Biosample,Model_System,Mouse_Model,"","",""
B6.129S1-Nf1tm1Cbr/J,"","","",FALSE,https://www.jax.org/strain/007923,modelSystemName,,"","",B6.129S1-Nf1tm1Cbr/J,Class,Biosample,Model_System,Mouse_Model,"","",""
B6.129(Cg)-Nf1tm1Par/J,"","","",FALSE,https://www.jax.org/strain/017640,modelSystemName,,"","",B6.129(Cg)-Nf1tm1Par/J,Class,Biosample,Model_System,Mouse_Model,"","",""
hiPSC-SCP,Schwann cell precursor iPSCs,"","",FALSE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7773354,modelSystemName,,"","",hiPSC-SCP,Class,Biosample,Model_System,Cell_Line_Model,"","",""
hiPSC,human iPSCs,"","",FALSE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7773355,modelSystemName,,"","",hiPSC,Class,Biosample,Model_System,Cell_Line_Model,"","",""
JHU 2-103-CL,An MPNST cell line derived from JHU NF1 Biobank tumor specimen JHU 2-103.,"","",FALSE,Sage Bionetworks,modelSystemName,,"","",JHU 2-103-CL,Class,Biosample,Model_System,Cell_Line_Model,"","",""
JHU 2-002-CL,An MPNST cell line derived from JHU NF1 Biobank tumor specimen JHU 2-002.,"","",FALSE,Sage Bionetworks,modelSystemName,,"","",JHU 2-002-CL,Class,Biosample,Model_System,Cell_Line_Model,"","",""
JHU 2-079-CL,An MPNST cell line derived from JHU NF1 Biobank tumor specimen JHU 2-079.,"","",FALSE,Sage Bionetworks,modelSystemName,,"","",JHU 2-079-CL,Class,Biosample,Model_System,Cell_Line_Model,"","",""
JHU 2-103-PDX,A PDX model derived from JHU NF1 Biobank tumor specimen JHU 2-103.,"","",FALSE,Sage Bionetworks,modelSystemName,,"","",JHU 2-103-PDX,Class,Biosample,Model_System,Cell_Line_Model,"","",""
JHU 2-002-PDX,A PDX model derived from JHU NF1 Biobank tumor specimen JHU 2-002.,"","",FALSE,Sage Bionetworks,modelSystemName,,"","",JHU 2-002-PDX,Class,Biosample,Model_System,Cell_Line_Model,"","",""
JHU 2-079-PDX,A PDX model derived from JHU NF1 Biobank tumor specimen JHU 2-079.,"","",FALSE,Sage Bionetworks,modelSystemName,,"","",JHU 2-079-PDX,Class,Biosample,Model_System,Cell_Line_Model,"","",""
hTERT NF1 ipNF05.5,plexiform neurofibroma cell line,"","",FALSE,https://web.expasy.org/cellosaurus/CVCL_UI71,modelSystemName,,"","",hTERT NF1 ipNF05.5,Class,Biosample,Model_System,Cell_Line_Model,"","",""
hTERT NF1 ipNF05.5 (Mixed clones),plexiform neurofibroma cell line,"","",FALSE,https://web.expasy.org/cellosaurus/CVCL_UI72,modelSystemName,,"","",hTERT NF1 ipNF05.5 (Mixed clones),Class,Biosample,Model_System,Cell_Line_Model,"","",""
hTERT NF1 ipn06.2 A,plexiform neurofibroma cell line,"","",FALSE,https://web.expasy.org/cellosaurus/CVCL_UI74,modelSystemName,,"","",hTERT NF1 ipn06.2 A,Class,Biosample,Model_System,Cell_Line_Model,"","",""
hTERT NF1 ipNF95.11b C/T,plexiform neurofibroma cell line,"","",FALSE,https://web.expasy.org/cellosaurus/CVCL_UI68,modelSystemName,,"","",hTERT NF1 ipNF95.11b C/T,Class,Biosample,Model_System,Cell_Line_Model,"","",""
hTERT NF1 ipNF95.6,plexiform neurofibroma cell line,"","",FALSE,https://web.expasy.org/cellosaurus/CVCL_UI70,modelSystemName,,"","",hTERT NF1 ipNF95.6,Class,Biosample,Model_System,Cell_Line_Model,"","",""
hTERT SC ipn02.8,plexiform neurofibroma cell line,"","",FALSE,https://web.expasy.org/cellosaurus/CVCL_UI65,modelSystemName,,"","",hTERT SC ipn02.8,Class,Biosample,Model_System,Cell_Line_Model,"","",""
hTERT NF1 ipnNF95.11c,plexiform neurofibroma cell line,"","",FALSE,https://web.expasy.org/cellosaurus/CVCL_UI69,modelSystemName,,"","",hTERT NF1 ipnNF95.11c,Class,Biosample,Model_System,Cell_Line_Model,"","",""
hTERT NF1 ipNF95.11b C,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_UI67,modelSystemName,,"","",hTERT NF1 ipNF95.11b C,Class,Biosample,Model_System,Cell_Line_Model,"","",""
hTERT NF1 ipnNF09.4,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_UI73,modelSystemName,,"","",hTERT NF1 ipnNF09.4,Class,Biosample,Model_System,Cell_Line_Model,"","",""
hTERT NF1 ipNF04.4,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_UI78,modelSystemName,,"","",hTERT NF1 ipNF04.4,Class,Biosample,Model_System,Cell_Line_Model,"","",""
hTERT NF1 sipnNF95.12B,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_UI75,modelSystemName,,"","",hTERT NF1 sipnNF95.12B,Class,Biosample,Model_System,Cell_Line_Model,"","",""
hTERT NF1 ipNF00.6,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_UI76,modelSystemName,,"","",hTERT NF1 ipNF00.6,Class,Biosample,Model_System,Cell_Line_Model,"","",""
hTERT NF1 ipNF03.3,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_UI77,modelSystemName,,"","",hTERT NF1 ipNF03.3,Class,Biosample,Model_System,Cell_Line_Model,"","",""
hTERT NF1 ipn02.3 2λ,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_UI64,modelSystemName,,"","",hTERT NF1 ipn02.3 2λ,Class,Biosample,Model_System,Cell_Line_Model,"","",""
hTERT SC ipn02.8,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_UI65,modelSystemName,,"","",hTERT SC ipn02.8,Class,Biosample,Model_System,Cell_Line_Model,"","",""
SZ-NF1,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_YL57,modelSystemName,,"","",SZ-NF1,Class,Biosample,Model_System,Cell_Line_Model,"","",""
SZ-NF2,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_YL58,modelSystemName,,"","",SZ-NF2,Class,Biosample,Model_System,Cell_Line_Model,"","",""
SZ-NF4,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_YL59,modelSystemName,,"","",SZ-NF4,Class,Biosample,Model_System,Cell_Line_Model,"","",""
NF1,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_JG80,modelSystemName,,"","",NF1,Class,Biosample,Model_System,Cell_Line_Model,"","",""
