Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
Homo sapiens,Homo sapiens with taxonomy ID: 9606 and Genbank common name: human,"","",FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock,species,,"","",Human,Class,Biosample,Species,Species,"","",""
Mus musculus,Mus musculus with taxonomy ID: 10090 and Genbank common name: house mouse,"",modelSystemName,FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10090&lvl=3&lin=f&keep=1&srchmode=1&unlock,species,,"","",Mouse,Class,Biosample,Species,Species,"","",""
Mus musculus (humanized),Mus musculus with taxonomy ID: 10090 and Genbank common name: house mouse,"",modelSystemName,FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10090&lvl=3&lin=f&keep=1&srchmode=1&unlock,species,,"","",Humanized_Mouse,Class,Biosample,Species,Species,"","",""
Rattus norvegicus,Rattus with taxonomy ID:10116 and Genbank common name: Norway rat,"",modelSystemName,FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10116&lvl=3&lin=f&keep=1&srchmode=1&unlock,species,,"","",Rat,Class,Biosample,Species,Species,"","",""
Drosophila melanogaster,Drosophila melanogaster with taxonomy ID: 7227 and Genbank common name: fruit fly,"",modelSystemName,FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=7227&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&p=mapview&lin=f&keep=1&srchmode=1&unlock,species,,"","",Fruitfly,Class,Biosample,Species,Species,"","",""
Rhesus macaque,Macaca mulatta with taxonomy ID: 9544 and Genbank common name: Rhesus monkey,"","",FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9544&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&p=mapview&lin=f&keep=1&srchmode=1&unlock,species,,"","",Rhesus_Monkey,Class,Biosample,Species,Species,"","",""
Pan troglodytes,Pan troglodytes with taxonomy ID: 9598 and Genbank common name: chimpanzee,"","",FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9598&lvl=3&lin=f&keep=1&srchmode=1&unlock,species,,"","",Chimpanzee,Class,Biosample,Species,Species,"","",""
Gallus gallus,"The common domestic fowl, Chicken.","","",FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9031,species,,"","",Chicken,Class,Biosample,Species,Species,"","",""
Sus scrofa,Sus scrofa with taxonomy ID: 9823 and Genbank common name: pig,"",modelSystemName,FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9823,species,,"","",Pig,Class,Biosample,Species,Species,"","",""
Oryctolagus cuniculus,Oryctolagus cuniculus with taxonomy ID: 9986 and Genbank common name: rabbit,"",modelSystemName,FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9986&lvl=3&lin=f&keep=1&srchmode=1&unlock,species,,"","",Rabbit,Class,Biosample,Species,Species,"","",""
Danio rerio,Danio rerio with taxonomy ID: 7955 and Genbank common name: zebrafish,"",modelSystemName,FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=7955&lvl=3&lin=f&keep=1&srchmode=1&unlock,species,,"","",Zebrafish,Class,Biosample,Species,Species,"","",""
Human,"","","",FALSE,"",transplantationRecipientSpecies,,"","",Human,Class,Biosample,Species,"","","",""
Mouse,"","","",FALSE,"",transplantationRecipientSpecies,,"","",Mouse,Class,Biosample,Species,"","","",""
