Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
Teratoma,TT,"","",FALSE,ONCOTREE,tumorType,,"","",Teratoma,Class,Biosample,Tumor,Tumor,"","",""
Cutaneous Neurofibroma,A neurofibroma that grows along small branches of nerves in the dermis in patients with neurofibromatosis. It presents as a solid cutaneous tumor.,"","",FALSE,http://purl.obolibrary.org/obo/NCIT_C128451,tumorType,,"","",Cutaneous_Neurofibroma,Class,Biosample,Tumor,Tumor,"","",""
Subcutaneous Neurofibroma,A neurofibroma that occurs along the peripheral nerves beneath the skin.,"","",FALSE,"",tumorType,,"","",Subcutaneous_Neurofibroma,Class,Biosample,Tumor,Tumor,"","","Not in NCIT, but see https://nyulangone.org/conditions/neurofibromatosis/types"
Plexiform Neurofibroma,"An elongated and multinodular neurofibroma, formed when the tumor involves either multiple trunks of a plexus or multiple fascicles of a large nerve, such as the sciatic. Some plexiform neurofibromas resemble a bag of worms, others produce a massive ropy enlargement of the nerve.","","",FALSE,http://purl.obolibrary.org/obo/NCIT_C3797,tumorType,,"","",Plexiform_Neurofibroma,Class,Biosample,Tumor,Tumor,"","",""
Atypical Neurofibroma,A neurofibroma characterized by the presence of cellular pleomorphism.,"","",FALSE,http://purl.obolibrary.org/obo/NCIT_C41426,tumorType,,"","",Atypical_Neurofibroma,Class,Biosample,Tumor,Tumor,"","",""
Malignant Peripheral Nerve Sheath Tumor,MPNST,"","",FALSE,ONCOTREE,tumorType,,"","",Malignant_Peripheral_Nerve_Sheath_Tumor,Class,Biosample,Tumor,Tumor,"","",""
Glioma,"A benign or malignant brain and spinal cord tumor that arises from glial cells (astrocytes, oligodendrocytes, ependymal cells). Tumors that arise from astrocytes are called astrocytic tumors or astrocytomas. Tumors that arise from oligodendrocytes are called oligodendroglial tumors. Tumors that arise from ependymal cells are called ependymomas.","","",FALSE,http://purl.obolibrary.org/obo/MONDO_0021042,tumorType,,"","",Glioma,Class,Biosample,Tumor,Tumor,"","",""
Low-Grade Glioma NOS,LGGNOS,"","",FALSE,ONCOTREE,tumorType,,"","",Low_Grade_Glioma_NOS,Class,Biosample,Tumor,Tumor,"","",""
Pilocytic Astrocytoma,PAST,"","",FALSE,ONCOTREE,tumorType,,"","",Pilocytic_Astrocytoma,Class,Biosample,Tumor,Tumor,"","",""
Pilomyxoid Astrocytoma,PMA,"","",FALSE,ONCOTREE,tumorType,,"","",Pilomyxoid_Astrocytoma,Class,Biosample,Tumor,Tumor,"","",""
Diffuse Astrocytoma,DA,"","",FALSE,ONCOTREE,tumorType,,"","",Diffuse_Astrocytoma,Class,Biosample,Tumor,Tumor,"","",""
Glioblastoma Multiforme,GBM,"","",FALSE,ONCOTREE,tumorType,,"","",Glioblastoma_Multiforme,Class,Biosample,Tumor,Tumor,"","",""
Anaplastic Pilocytic Astrocytoma,Pilocytic astrocytoma with anaplastic features exhibits a spectrum of morphologies and is associated with decreased survival when compared with typical PA.,"","",FALSE,https://doi.org/10.1097/pas.0b013e3181c75238,tumorType,,"","",Anaplastic_Pilocytic_Astrocytoma,Class,Biosample,Tumor,Tumor,"","",""
Pleomorphic Xanthoastrocytoma,PXA,"","",FALSE,ONCOTREE,tumorType,,"","",Pleomorphic_Xanthoastrocytoma,Class,Biosample,Tumor,Tumor,"","",""
Oligoastrocytoma,OAST,"","",FALSE,ONCOTREE,tumorType,,"","",Oligoastrocytoma,Class,Biosample,Tumor,Tumor,"","",""
High-Grade Glioma NOS,HGGNOS,"","",FALSE,ONCOTREE,tumorType,,"","",High_Grade_Glioma_NOS,Class,Biosample,Tumor,Tumor,"","",""
Unknown,"A tumor of unknown origin, or tumor type missing. ","","",FALSE,Sage Bionetworks,tumorType,,"","",Unknown,Class,Biosample,Tumor,Tumor,"","",""
Anaplastic Astrocytoma,AASTR,"","",FALSE,ONCOTREE,tumorType,,"","",Anaplastic_Astrocytoma,Class,Biosample,Tumor,Tumor,"","",""
Glioblastoma,GB,"","",FALSE,ONCOTREE,tumorType,,"","",Glioblastoma,Class,Biosample,Tumor,Tumor,"","",""
Schwannoma,SCHW,"","",FALSE,ONCOTREE,tumorType,,"","",Schwannoma,Class,Biosample,Tumor,Tumor,"","",""
Meningioma,MNG,"","",FALSE,ONCOTREE,tumorType,,"","",Meningioma,Class,Biosample,Tumor,Tumor,"","",""
Massive Soft Tissue Neurofibroma,"Massive soft tissue neurofibroma is characterized  by local infiltration and extension to multiple nerve branches,  as well as substantial overgrowth of adjacent soft tissue and  skin, which distinguishes it from its more benign variant, plexiform neurofibroma. With striking presentation and  severe dysmorphism, massive soft tissue neurofibroma is also labeled elephantiasis neuromatosa. Although considered benign it  shares similarities with malignant peripheral nerve sheath  tumors such as local infiltration and cell mitogenesis. Massive soft tissue neurofibroma is associated with significant morbidity and mortality and almost no response to  conventional chemotherapy and radiotherapy. Surgery is eventually pursued, although bleeding may be a life-threatening  complication as massive soft tissue neurofibromas are highly  vascularized.","","",FALSE,https://doi.org/10.1177%2F0883073815571635,tumorType,,"","",Massive_Soft_Tissue_Neurofibroma,Class,Biosample,Tumor,Tumor,"","",""
Diffuse Infiltrating Neurofibroma,"Diffuse infiltrating neurofibroma can present as slow-growing, soft tissue masses with overlying skin thickening. These le-sions infiltrate the dermis and the subcutaneous tissue and  characteristically spread along the connective tissues enveloping islands of normal fat. Some of these lesions develop fatty proliferation and can mimic lipomas,  angiolipomas, or angiomyolipomas on imaging and histological evaluation ","","",FALSE,https://doi.org/10.1007/s00256-014-1965-8,tumorType,,"","",Diffuse_Infiltrating_Neurofibroma,Class,Biosample,Tumor,Tumor,"","",""
Localized Neurofibroma,"","","",FALSE,JHU Biobank,tumorType,,"","",Localized_Neurofibroma,Class,Biosample,Tumor,Tumor,"","",""
Neurofibroma with Degenerative Atypia,"","","",FALSE,JHU Biobank,tumorType,,"","",Neurofibroma_With_Degenerative_Atypia,Class,Biosample,Tumor,Tumor,"","",""
Neurofibroma,NFIB,"","",FALSE,"",tumorType,,"","",Neurofibroma,Class,Biosample,Tumor,Tumor,"","",""
Anaplastic Pleomorphic Xanthoastrocytoma,APXA,"","",FALSE,ONCOTREE,tumorType,,"","","",Class,Biosample,Tumor,"","","",""
Ganglioglioma,GNG,"","",FALSE,ONCOTREE,tumorType,,"","","",Class,Biosample,Tumor,"","","",""
Anaplastic Ganglioglioma,AGNG,"","",FALSE,ONCOTREE,tumorType,,"","","",Class,Biosample,Tumor,"","","",""
Optic Pathway Glioma,A glioma that affects the optic nerve. This condition can be seen in association with neurofibromatosis 1. It is most commonly seen in the pediatric age group.,"","",FALSE,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C4537,tumorType,,"","","",Class,Biosample,Tumor,"","","",""
Not Applicable,"","","",FALSE,Sage Bionetworks,tumorType,,"","","",Class,Biosample,Tumor,"","","",""
Colorectal Adenocarcinoma,(COADREAD) The most common type of colorectal carcinoma. It is chararactized by the presence of malignant glandular epithelial cells invading through the muscularis mucosa into the submucosa.,"","",FALSE,obo:NCIT_C5105,tumorType,,"","","",Class,Biosample,Tumor,"","","",""
Colorectal Carcinoma,A malignant epithelial neoplasm that arrises from the colon or rectum and invates through the muscularis mucosa into the submucosa. 95 percent of colorectal carcinoma are colorectal adenocarcinoma -- use this more specific term if it applies.,"","",FALSE,obo:NCIT_C2955,tumorType,,"","","",Class,Biosample,Tumor,"","","",""
Recurrent MPNST,The reemergence of malignant peripheral nerve sheath tumor after a period of remission.,"","",FALSE,obo:NCIT_C8823,tumorType,,"","","",Class,Biosample,Tumor,"","","",""
Juvenile Myelomonocytic Leukemia,(JMML) A myelodysplastic/myeloproliferative neoplasm of childhood that is characterized by proliferation principally of the granulocytic and monocytic lineages,"","",FALSE,obo:NCIT_C9233,tumorType,,"","","",Class,Biosample,Tumor,"","","",""
Sarcoma,"(SARCNOS) An usually aggressive malignant neoplasm of the soft tissue or bone...Representative subtypes are liposarcoma, leiomyosarcoma, osteosarcoma, and chondrosarcoma.","","",FALSE,obo:NCIT_C9118,tumorType,,"","","",Class,Biosample,Tumor,"","","",""
Fibromatosis,A poorly circumscribed neoplasm arising from the soft tissues. It is characterized by the presence of spindle-shaped fibroblasts and an infiltrative growth pattern.,"","",FALSE,obo:NCIT_C3042,tumorType,,"","","",Class,Biosample,Tumor,"","","",""
