Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
raw counts,The number or amount of something.,"",assay,FALSE,http://purl.obolibrary.org/obo/NCIT_C25463,dataType,,"","",Raw_Counts,Class,Data,Data_Class,"","","",""
Volume,The amount of three dimensional space occupied by an object or the capacity of a space or container.,"",assay,FALSE,http://purl.obolibrary.org/obo/NCIT_C25335,dataType,,"","",Volume,Class,Data,Data_Class,"","","",""
Weight,The vertical force exerted by a mass as a result of gravity.,"",assay,FALSE,http://purl.obolibrary.org/obo/NCIT_C25208,dataType,,"","",Weight,Class,Data,Data_Class,"","","",""
Pharmacokinetic Study,"A study of the process by which a drug is absorbed, distributed, metabolized, and eliminated by the body.","",assay,FALSE,http://purl.obolibrary.org/obo/NCIT_C49663,dataType,,"","",Pharmacokinetic_Study,Class,Data,Data_Class,"","","",""
genomicVariants,"Genomic alterations, including single nucleotide polymorphisms, short indels and structural variants. Use more specific term if possible, esp. if data is only of one specific subset.","",assay,FALSE,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Foperation_3227,dataType,,"","",Genomic_Variants,Class,Data,Data_Class,"","","",""
AlignedReads,"Aligned reads output from alignment workflows","",assay,FALSE,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads,dataType,,"","",Aligned_Reads,Class,Data,Data_Class,"","","",""
SomaticVariants,"Called somatic variants","",assay,FALSE,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=simple_somatic_mutation,dataType,,"","",Somatic_Variants,Class,Data,Data_Class,"",,"",""
AnnotatedSomaticVariants,"Somatic variants annotated with some annotation workflow","",assay,FALSE,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=annotated_somatic_mutation,dataType,,"","",Annotated_Somatic_Variants,Class,Data,Data_Class,"","","",""
GermlineVariants,"Called germline variants","",assay,FALSE,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=simple_germline_variation,dataType,,"","",Germline_Variants,Class,Data,Data_Class,"","","",""
AnnotatedGermlineVariants,"Germline variants annotated with some annotation workflow","",assay,FALSE,,dataType,,"","",Annotated_Germline_Variants,Class,Data,Data_Class,"","","",""
StructuralVariants,"Specifically genomic variants data classified as structural variants, which may be derived from specialized variant calling workflows","",assay,FALSE,,dataType,,"","",Structural_Variants,Class,Data,Data_Class,"","","",""
behavior process,"The action, reaction, or performance of an organism in response to external or internal stimuli.","",assay,FALSE,hhttps://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=structural_variation,dataType,,"","",Behavior_Process,Class,Data,Data_Class,"","","",""
metabolomics,"The systematic study of metabolites, the chemical processes they are involved, and the chemical fingerprints of specific cellular processes in a whole cell, tissue, organ or organism.","",assay,FALSE,http://edamontology.org/topic_3172,dataType,,"","",Metabolomics,Class,Data,Data_Class,"","","",""
image,Biological or biomedical data that has been rendered into an image.,"",assay,FALSE,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_2968,dataType,,"","",Image,Class,Data,Data_Class,"","","",""
geneExpression,The analysis of levels and patterns of synthesis of gene products (proteins and functional RNA) including interpretation in functional terms of gene expression data.,"",assay,FALSE,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Ftopic_0203,dataType,,"","",Gene_Expression,Class,Data,Data_Class,"","","",""
isoformExpression,Expression of protien isoforms formed from alternative splicings or other post-translational modifications of a single gene through RNA splicing mechanisms.,"",assay,FALSE,https://en.wikipedia.org/wiki/Protein_isoform,dataType,,"","",Isoform_Expression,Class,Data,Data_Class,"","","",""
proteomics,"Protein and peptide identification, especially in the study of whole proteomes of organisms.","",assay,FALSE,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Ftopic_0121,dataType,,"","",Proteomics,Class,Data,Data_Class,"","","",""
kinomics,Kinomics is the study of protein kinases and protein kinase signaling.,"",assay,FALSE,http://www.kinomecore.com/what-is-kinomics/,dataType,,"","",Kinomics,Class,Data,Data_Class,"","","",""
drugScreen,Information on drug sensitivity and molecular markers of drug response,"",assay,FALSE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3531057/,dataType,,"","",Drug_Screen,Class,Data,Data_Class,"","","",""
drugCombinationScreen,Information on drug sensitivity of more than one compound,"","",FALSE,https://www.ncbi.nlm.nih.gov/pubmed/29344898,dataType,,"","",Drug_Combination_Screen,Class,Data,Data_Class,"","","",""
cellularPhysiology,"","",assay,FALSE,"",dataType,,"","",Cellular_Physiology,Class,Data,Data_Class,"","","",""
chromatinActivity,Chromatin activity that allow access of condensed genomic DNA and potentially control gene expression.,"","",FALSE,https://en.wikipedia.org/wiki/Chromatin_remodeling,dataType,,"","",Chromatin_Activity,Class,Data,Data_Class,"","","",""
surveyData,A data set that contains the outcome of a survey.,"",assay,FALSE,http://purl.obolibrary.org/obo/OMIABIS_0000060,dataType,,"","",Survey_Data,Class,Data,Data_Class,"","","",""
network,An interconnected system of things or people.,"","",FALSE,http://purl.obolibrary.org/obo/NCIT_C61377,dataType,,"","",Network,Class,Data,Data_Class,"","","",""
clinical,Data obtained through patient examination or treatment.,"","",FALSE,http://purl.obolibrary.org/obo/NCIT_C15783,dataType,,"","",Clinical_Data,Class,Data,Data_Class,"","","",""
