Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
bash script,Bash Shell Script,"","",FALSE,https://en.wikipedia.org/wiki/Shell_script,fileFormat,,"","",bash_script,Class,Data,File_Format,Open_Format,"","",""
bedgraph,Holds a tab-delimited chromosome /start /end / datavalue dataset. The bedGraph format allows display of continuous-valued data in track format. This display type is useful for probability scores and transcriptome data,"","",FALSE,http://edamontology.org/format_3583,fileFormat,,"","",bedgraph,Class,Data,File_Format,Open_Format,"","",""
ai,Adobe Illustrator format,"","",FALSE,http://www.ebi.ac.uk/swo/data/SWO_3000023,fileFormat,,"","",ai,Class,Data,File_Format,Proprietary_Format,"","",""
idx,"","","",FALSE,"",fileFormat,,"","",idx,Class,Data,File_Format,"","","",""
idat,Proprietary file format for (raw) BeadArray data used by genomewide profiling platforms from Illumina Inc. This format is output directly from the scanner and stores summary intensities for each probe-type on an array.,"","",FALSE,http://edamontology.org/format_3578,fileFormat,,"","",idat,Class,Data,File_Format,Proprietary_Format,"","",""
bam,"BAM format, the binary, BGZF-formatted compressed version of SAM format for alignment of nucleotide sequences (e.g. sequencing reads) to (a) reference sequence(s)","","",FALSE,http://edamontology.org/format_2572,fileFormat,,"","",bam,Class,Data,File_Format,Open_Format,"","",""
bai,BAM indexing format,"","",FALSE,http://edamontology.org/format_3327,fileFormat,,"","",bai,Class,Data,File_Format,Open_Format,"","",""
excel,Microsoft Excel spreadsheet format,"","",FALSE,"",fileFormat,,"","",excel,Class,Data,File_Format,Proprietary_Format,"","",""
powerpoint,Microsoft Powerpoint slide format,"","",FALSE,"",fileFormat,,"","",powerpoint,Class,Data,File_Format,Proprietary_Format,"","",""
tif,"Tagged Image File Format, abbreviated TIFF or TIF, is a computer file format for storing raster graphics images","","",FALSE,https://en.wikipedia.org/wiki/TIFF,fileFormat,,"","",tif,Class,Data,File_Format,Preferred_Open_Format,"","",""
png,PNG is a file format for image compression,"","",FALSE,http://edamontology.org/format_3603,fileFormat,,"","",png,Class,Data,File_Format,Open_Format,"","",""
doc,Microsoft Word document format,"","",FALSE,"",fileFormat,,"","",doc,Class,Data,File_Format,Proprietary_Format,"","",""
pdf,Portable Document Format,"","",FALSE,http://edamontology.org/format_3508,fileFormat,,"","",pdf,Class,Data,File_Format,Proprietary_Format,"","",""
hdf,"Hierarchical Data Format (HDF) is a set of file formats (HDF4, HDF5) designed to store and organize large amounts of data","","",FALSE,https://en.wikipedia.org/wiki/Hierarchical_Data_Format,fileFormat,,"","",hdf,Class,Data,File_Format,Open_Format,"","",""
fasta,"FASTA format is a text-based format for representing either nucleotide sequences or peptide sequences, in which nucleotides or amino acids are represented using single-letter codes","","",FALSE,https://en.wikipedia.org/wiki/FASTA_format,fileFormat,,"","",fasta,Class,Data,File_Format,Preferred_Open_Format,"","",""
fastq,FASTQ format is a text-based format for storing both a biological sequence (usually nucleotide sequence) and its corresponding quality scores. Both the sequence letter and quality score are each encoded with a single ASCII character for brevity,"","",FALSE,https://en.wikipedia.org/wiki/FASTQ_format,fileFormat,,"","",fastq,Class,Data,File_Format,Preferred_Open_Format,"","",""
