Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
gene symbol,A unique gene name approved by an organism specific nomenclature committee.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C43568,curatedDataType,,,,Gene_Symbol,Class,Data,Metadata,,,,
clinical data,Data obtained through patient examination or treatment.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C15783,curatedDataType,,,,Clinical_Curated_Data,Class,Data,Metadata,,,,
gene function,A term that expresses the function of a gene product.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C48933,curatedDataType,,,,Gene_Function,Class,Data,Metadata,,,,
chemical descriptor,"A chemical descriptor is a data item (quantity or value) about a chemical entity that conforms to a specification for how it is calculated, measured or recorded.",,,FALSE,http://semanticscience.org/resource/CHEMINF_000123,curatedDataType,,,,Chemical_Descriptor,Class,Data,Metadata,,,,
individual,Metadata describing properties of individuals (human or animal) represented in the study.,,,FALSE,Sage Bionetworks,metadataType,,,,Individual_Annotation,Class,Data,Metadata,,,,
biospecimen,Metadata describing properties of specimens collected and/or analyzed in the study.,,,FALSE,Sage Bionetworks,metadataType,,,,Biospecimen_Annotation,Class,Data,Metadata,,,,
assay,Metadata describing properties of an assay conducted in the study.,,,FALSE,Sage Bionetworks,metadataType,,,,Assay_Annotation,Class,Data,Metadata,,,,
data dictionary,Metadata describing terms or variables that appear in another file.,,,FALSE,Sage Bionetworks,metadataType,,,,Data_Dictionary,Class,Data,Metadata,,,,
manifest,Metadata describing a list of files and the annotations terms associated with them.,,,FALSE,Sage Bionetworks,metadataType,,,,Manifest,Class,Data,Metadata,,,,
protocol,"A plan specification which has sufficient level of detail and quantitative information to communicate it between investigation agents, so that different investigation agents will reliably be able to independently reproduce the process.",,,FALSE,http://purl.obolibrary.org/obo/OBI_0000272,metadataType,,,,Protocol,Class,Data,Metadata,,,,
GRCh38,Genome Reference Consortium Human Build 38,,,FALSE,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26,referenceSet,,,,GRCh38,Class,Data,Metadata,,,,
GRCh37,Genome Reference Consortium Human Build 37,,,FALSE,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.13/,referenceSet,,,,GRCh37,Class,Data,Metadata,,,,
MMUL1.0,Ensembl preliminary assembly Macaca mulatta,,,FALSE,https://jul2016.archive.ensembl.org/Macaca_mulatta/Info/Index,referenceSet,,,,MMUL1.0,Class,Data,Metadata,,,,
HRC,Human haplotype reference panel,,,FALSE,http://www.haplotype-reference-consortium.org,referenceSet,,,,HRC,Class,Data,Metadata,,,,
experimentalData,"Any file derived from or pertaining to a scientific experiment. experimentalData annotations should be applied, possibly disease-related",,,FALSE,Sage Bionetworks,resourceType,,,,Experimental_Data,Class,Data,Metadata,Resource,,,
result,"Any file that reports data results. Examples include figures, presentations, analysis, etc.",,,FALSE,Sage Bionetworks,resourceType,,,,Result,Class,Data,Metadata,Resource,,,
tool,"Any file or link that represents a tool, model, or algorithm; the tool annotations could be applied",,,FALSE,Sage Bionetworks,resourceType,,,,Tool,Class,Data,Metadata,Resource,,,
workflow report,"Workflow-generated reports of analysis of primary data, usually created programmatically at completion of workflow step.",,,FALSE,,resourceType,,,,Workflow_Report,Class,Data,Metadata,Report,,,
report,"a document assembled by an author for the purpose of providing information for the audience. A report is the output of a documenting process and has the objective to be consumed by a specific audience. Topic of the report is on something that has completed. A report is not a single figure. Examples of reports are journal article, patent application, grant progress report, case report (not patient record).",,,FALSE,http://purl.obolibrary.org/obo/IAO_0000088,resourceType,,,,Report,Class,Data,Metadata,Resource,,,
metadata,"Data about data, information that describes another set of data.",,,FALSE,http://purl.obolibrary.org/obo/NCIT_C52095,resourceType,,,,metadata,Class,Data,Metadata,Resource,,,
protocol,"A plan specification which has sufficient level of detail and quantitative information to communicate it between investigation agents, so that different investigation agents will reliably be able to independently reproduce the process.",,,FALSE,http://purl.obolibrary.org/obo/OBI_0000272,resourceType,,,,Protocol,Class,Data,Metadata,Resource,,,
weblink,The global address of documents and other resources on the World Wide Web.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C42743,resourceType,,,,,Class,Data,Metadata,Resource,,,
