Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
curatedDataType,The type of information being curated.,"reference sequence, gene symbol, clinical data, gene function, chemical descriptor",,TRUE,,curatedData,,,,curatedDataType,Property,Data,annotationProperty,,,,
referenceSet,"A set of references (e.g., canonical assembled contigs) which defines a common coordinate space for comparing reference-aligned experimental data.","GRCh38, GRCh37, MMUL1.0, HRC",,TRUE,,curatedData,,,,referenceSet,Property,Data,annotationProperty,,,,
reference sequence,Syntactic sequences that has a role as reference of an annotation.,,,FALSE,http://rdf.biosemantics.org/ontologies/rsa#ReferenceSequence,curatedDataType,,,,referenceSequence,Property,Data,annotationProperty,,,,
dataSubtype,"Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.","normalized, dataMatrix, raw, processed, metadata, representative",,TRUE,,experimentalData,,,,dataSubtype,Property,Data,annotationProperty,,Data_Level,one,
metadataType,"For files of dataSubtype: metadata, a description of the type of metadata in the file.","individual, biospecimen, assay, data dictionary, manifest, protocol",,FALSE,,experimentalData,,,,metadataType,Property,Data,annotationProperty,,,,
dataType,"A type of experimental, clinical, or other data. This typically refers to a high-level data type that can be related to an assay type. For example, a file of dataType `genomicVariants` might have an assay value of `whole genome sequencing`.","Volume, Weight, Pharmacokinetic Study, genomicVariants,behavior process, metabolomics, image, geneExpression, isoformExpression, proteomics, kinomics, drugScreen, drugCombinationScreen, cellularPhysiology, chromatinActivity, surveyData, network, clinical, immunoassay, electrophysiology, raw counts, mask image,AlignedReads,SomaticVariants,AnnotatedSomaticVariants,StructuralVariants,GermlineVariants,AnnotatedGermlineVariants",dataSubtype,TRUE,,experimentalData,,,,dataType,Property,Data,annotationProperty,,Data,one,
expressionUnit,"Measure used for transcript expression quantification","TPM,RPKM,FPKM,Counts,Other",,TRUE,,experimentalData,,,,expressionUnit,DataProperty,Data,annotationProperty,,,,
failedQC,Whether the sample or data failed QC checks (Yes; No),"Yes, No",,TRUE,,experimentalData,,,,failedQC,DataProperty,Data,annotationProperty,,,,
Filename,The name of the file.,,"entityId,fileFormat",TRUE,Sage Bionetworks,NF,,,,fileName,Class,Data,annotationProperty,fileName,,one,Automatically filled when using the curator app.
programmingLanguage,A computer programming language,"Python, R, MATLAB, Java, C, C++, C#, Javascript, bash",,FALSE,Sage Bionetworks,,,,,programmingLanguage,Property,Data,annotationProperty,ngsParameter,,,
runtimePlatform,"Runtime platform or script interpreter dependencies (e.g. Java v1, Python 2.3).",,,FALSE,Sage Bionetworks,,,,,runtimePlatform,Property,Data,annotationProperty,ngsParameter,,,
documentation,URL to any documentation describing the resource and its use.,,,FALSE,Sage Bionetworks,,,,,documentation,Property,Data,annotationProperty,ngsParameter,,,
resourceType,The type of resource being stored and annotated,"experimentalData, curatedData, result, tool, report, metadata, protocol, workflow report",,TRUE,,sageCommunity,,,,resourceType,Property,Data,annotationProperty,,Resource,,
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software","bash script,bedgraph,ai,idx,idat,bam,bai,excel,powerpoint,tif,png,doc,pdf,hdf,fasta,fastq,sam,vcf,bcf,maf,bed,chp,cel,sif,tsv,csv,txt,plink,bigwig,wiggle,gct,bgzip,zip,seg,html,mov,hyperlink,svs,md,flagstat,gtf,raw,msf,rmd,bed narrowPeak,bed broadPeak,bed gappedPeak,avi,pzfx,fig,xml,tar,R script,abf,bpm,dat,jpg,locs,Sentrix descriptor file,Python script,sav,gzip,sdf,RData,hic,ab1,7z,gff3,json,sqlite,svg,sra,recal,tranches,mtx,tagAlign,dup,DICOM,czi,mzML,SPAR,SDAT,nii,PAR,REC,hdr,img,sf,MATLAB script, MATLAB data,tom",,TRUE,,sageCommunity,,,,fileFormat,Property,Data,annotationProperty,,File_Format,one,
progressReportNumber,"Indicates milestone the  data is associated with. Currently only required for projects funded by NTAP, GFF, and NFRI. For GFF studies, this is the ‘progress report’ timeline. Example: if submitting data for the 6-month milestone report for NTAP, progressReportNumber=1.  Also if submitting data associated with first milestone, progressReportNumber =1","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, Not Applicable",,FALSE,,template,,,,progressReportNumber,DataProperty,Data,annotationProperty,,,one,
comments,Brief free-text comments that may also be important to understanding the resource.,,,FALSE,Sage Bionetworks,experimentalData,,,,comments,DataProperty,Data,annotationProperty,,,many,
Resource_id,A UUID for a Resource from the NF Research Tools Database,,,FALSE,Sage Bionetworks,dccProperty,,,,Resource_id,Property,Data,annotationProperty,dccProperty,,,
initiative,"Refers to a funding initiative. This annotation is usually handled by the DCC or funder, not the researcher. ",,,FALSE,Sage Bionetworks,dccProperty,,,,initiative,Property,Data,annotationProperty,dccProperty,,,
fundingAgency,Refers to the funding organization for the generated resource. This annotation is handled by the DCC.,,,FALSE,Sage Bionetworks,dccProperty,,,,fundingAgency,Property,Data,annotationProperty,dccProperty,,,
createdOn,Refers to when the resource was created on the platform.,,,FALSE,Sage Bionetworks,synapseProperty,,,,createdOn,Property,Data,annotationProperty,synapseProperty,,,
createdBy,Refers to the user who created the resource on the platform.,,,FALSE,Sage Bionetworks,synapseProperty,,,,createdBy,Property,Data,annotationProperty,synapseProperty,,,
modifiedBy,Refers to a user who last modified the resource on the platform.,,,FALSE,Sage Bionetworks,synapseProperty,,,,modifiedBy,Property,Data,annotationProperty,synapseProperty,,,
id,The entity id for the resource automatically assigned by the platform.,,,FALSE,Sage Bionetworks,synapseProperty,,,,id,Property,Data,annotationProperty,synapseProperty,,,
etag,Synapse employs an Optimistic Concurrency Control (OCC) scheme to handle concurrent updates. The E-Tag changes every time an entity is updated it is used to detect when a client's current representation of an entity is out-of-date.,,,FALSE,Sage Bionetworks,synapseProperty,,,,etag,Property,Data,annotationProperty,synapseProperty,,,
parentId,"The id of the parent resource, i.e. the parent folder on the platform. ",,,FALSE,Sage Bionetworks,synapseProperty,,,,parentId,Property,Data,annotationProperty,synapseProperty,,,
benefactorId,The id of the resource from which access control is inherited.,,,FALSE,Sage Bionetworks,synapseProperty,,,,benefactorId,Property,Data,annotationProperty,synapseProperty,,,
currentVersion,(Versionable entities only) The current version number of the resource.,,,FALSE,Sage Bionetworks,synapseProperty,,,,currentVersion,Property,Data,annotationProperty,synapseProperty,,,
dataFileHandleId,(Files only) Refers to the id of the file.,,,FALSE,Sage Bionetworks,synapseProperty,,,,dataFileHandleId,Property,Data,annotationProperty,synapseProperty,,,
contentSize,(Files only) File size calculated by the platform.,,,FALSE,Sage Bionetworks,synapseProperty,,,,contentSize,Property,Data,annotationProperty,synapseProperty,,,
type,"Refers to the type of the resource on the platform, e.g. “file”.",,,FALSE,Sage Bionetworks,synapseProperty,,,,type,Property,Data,annotationProperty,synapseProperty,,,
concreteType,Refers to the class model the data platform uses for representing the resource. This is a low-level field set by the platform and is not a user annotation.,,,FALSE,Sage Bionetworks,synapseProperty,,,,concreteType,Property,Data,annotationProperty,synapseProperty,,,
author,"The author of the resource; preferably use an ORCID ID, GitHub profile link, etc., if available and a text name if not.",,,FALSE,Sage Bionetworks,,,,,,Property,Data,annotationProperty,,,,
license,Link to a license or name of license applicable for the resource.,,,,,,,,,,,,,,,,
