Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
transplantationType,"Type of transplantation involved in the experiment, derived from MESH","allograft, xenograft, autograft, isograft","transplantationRecipientSpecies,transplantationRecipientTissue",FALSE,Sage Bionetworks,cancer,,,,transplantationType,Property,Experiment,annotationProperty,transplantationCharacteristic,,,
transplantationRecipientSpecies,Species into which donor tissue was grown,"Human, Mouse",,FALSE,Sage Bionetworks,cancer,,,,transplantationRecipientSpecies,Property,Experiment,annotationProperty,transplantationCharacteristic,,,
timePointUnit,For timed experiments this represents the unit of time measured,"seconds, minutes, hours, days, weeks, months, quarters",,FALSE,Sage Bionetworks,cancer,,,,timePointUnit,Property,Experiment,annotationProperty,,Time_Unit,,
experimentalCondition,A free-text description of the experimental condition (e.g. 5 mM doxorubicin).,,,FALSE,Sage Bionetworks,sageCommunity,,,,experimentalCondition,Property,Experiment,annotationProperty,experimentProperty,,,
experimentalTimepoint,The numeric value indicating the time elapsed from the beginning of the experiment at which the specimen was collected. Use in tandem with timePointUnit,,timePointUnit,FALSE,Sage Bionetworks,sageCommunity,,,,experimentalTimepoint,Property,Experiment,annotationProperty,experimentProperty,,,
transplantationRecipientTissue,Tissue into which a xenograph sample is transplanted,,,FALSE,Sage Bionetworks,sageCommunity,,,,transplantationRecipientTissue,Property,Experiment,annotationProperty,,,,
experimentId,"When applicable, an optional identifier that can be used to distinguish or group the experiments that generated the data; also can be used to denote internal batch reference if needed.",,,FALSE,Sage Bionetworks,sageCommunity,,,,experimentId,Property,Experiment,annotationProperty,experimentProperty,,,
compoundName,"Common name for a compound, e.g. “Selumetinib” (https://pubchem.ncbi.nlm.nih.gov/compound/10127622)",,InChIKey,FALSE,Sage Bionetworks,sageCommunity,,,,compoundName,Property,Experiment,annotationProperty,experimentProperty,,,
compoundDose,A dose quantity for the treatment compound. To be used with compoundDoseUnit.,,compoundDoseUnit,FALSE,Sage Bionetworks,sageCommunity,,,,compoundDose,Property,Experiment,annotationProperty,experimentProperty,,,
compoundDoseUnit,A unit associated with the value(s) in compoundDose.,,,FALSE,Sage Bionetworks,sageCommunity,,,,compoundDoseUnit,Property,Experiment,annotationProperty,experimentProperty,,,
InChIKey,"A unique hash key for a compound, e.g. for “Selumetinib”, the key is CYOHGALHFOKKQC-UHFFFAOYSA-N (https://pubchem.ncbi.nlm.nih.gov/compound/10127622#section=InChI-Key). This is a more reliable identifier than the compound name and should be used if available.",,,FALSE,Sage Bionetworks,sageCommunity,,,,InChIKey,Property,Experiment,annotationProperty,experimentProperty,,,
genePerturbationType,Specific way in which a single gene was perturbed in a sample,"overexpression, knockdown, knockout, Not Applicable",,FALSE,Sage Bionetworks,cancer,,,,genePerturbationType,Property,Experiment,annotationProperty,,Gene_Perturbation,,
genePerturbationTechnology,Technology used to perform gene perturbation,"RNAi, CRISPR, CRE Recombinase",,FALSE,Sage Bionetworks,cancer,,,,genePerturbationTechnology,Property,Experiment,annotationProperty,,Gene_Perturbation_Technology,,
genePerturbed,The HUGO gene symbol for the gene that is perturbed.,,"genePerturbationType,genePerturbationTechnology",FALSE,Sage Bionetworks,sageCommunity,,,,genePerturbed,Property,Assay,annotationProperty,experimentProperty,,,
