Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
JAX,The Jackson Laboratory,,,FALSE,https://www.jax.org,individualIdSource,,,,JAX,Class,Other,Institution,,,,
Sage Bionetworks,,,,FALSE,,,,,,,Class,Other,Institution,,,,
Albany Medical College,,,,FALSE,,,,,,,,,Institution,,,,
Albert Einstein College of Medicine,,,,FALSE,,,,,,,,,Institution,,,,
Alliant International University,,,,FALSE,,,,,,,,,Institution,,,,
American University,,,,FALSE,,,,,,,,,Institution,,,,
Arizona State University,,,,FALSE,,,,,,,,,Institution,,,,
"Auburn University, Auburn",,,,FALSE,,,,,,,,,Institution,,,,
Augusta University,,,,FALSE,,,,,,,,,Institution,,,,
Baylor College of Medicine,,,,FALSE,,,,,,,,,Institution,,,,
Baylor University,,,,FALSE,,,,,,,,,Institution,,,,
Boise State University,,,,FALSE,,,,,,,,,Institution,,,,
Boston College,,,,FALSE,,,,,,,,,Institution,,,,
Boston University,,,,FALSE,,,,,,,,,Institution,,,,
Bowling Green State University,,,,FALSE,,,,,,,,,Institution,,,,
Brandeis University,,,,FALSE,,,,,,,,,Institution,,,,
"Brigham Young University, Provo",,,,FALSE,,,,,,,,,Institution,,,,
Brown University,,,,FALSE,,,,,,,,,Institution,,,,
California Institute of Technology,,,,FALSE,,,,,,,,,Institution,,,,
"California Polytechnic State University, San Luis Obispo",,,,FALSE,,,,,,,,,Institution,,,,
"California State University, Long Beach",,,,FALSE,,,,,,,,,Institution,,,,
"California State University, Northridge",,,,FALSE,,,,,,,,,Institution,,,,
"California State University, Sacramento",,,,FALSE,,,,,,,,,Institution,,,,
Carnegie Mellon University,,,,FALSE,,,,,,,,,Institution,,,,
Case Western Reserve University,,,,FALSE,,,,,,,,,Institution,,,,
Catholic University of America,,,,FALSE,,,,,,,,,Institution,,,,
Central Michigan University,,,,FALSE,,,,,,,,,Institution,,,,
Chapman University,,,,FALSE,,,,,,,,,Institution,,,,
Children's Hospital of Philadelphia,,,,FALSE,,,,,,,,,Institution,,,,
City of Hope,,,,FALSE,,,,,,,,,Institution,,,,
Clarkson University,,,,FALSE,,,,,,,,,Institution,,,,
Clemson University,,,,FALSE,,,,,,,,,Institution,,,,
Cleveland State University,,,,FALSE,,,,,,,,,Institution,,,,
Cold Spring Harbor Laboratory,,,,FALSE,,,,,,,,,Institution,,,,
"Colorado State University, Fort Collins",,,,FALSE,,,,,,,,,Institution,,,,
Columbia U. in the City of New York,,,,FALSE,,,,,,,,,Institution,,,,
Cornell University,,,,FALSE,,,,,,,,,Institution,,,,
Creighton University,,,,FALSE,,,,,,,,,Institution,,,,
"CUNY, City College",,,,FALSE,,,,,,,,,Institution,,,,
"CUNY, Hunter College",,,,FALSE,,,,,,,,,Institution,,,,
"CUNY, John Jay College of Criminal Justice",,,,FALSE,,,,,,,,,Institution,,,,
"CUNY, Queens College",,,,FALSE,,,,,,,,,Institution,,,,
Dartmouth College,,,,FALSE,,,,,,,,,Institution,,,,
Delaware State University,,,,FALSE,,,,,,,,,Institution,,,,
Desert Research Institute,,,,FALSE,,,,,,,,,Institution,,,,
Drexel University,,,,FALSE,,,,,,,,,Institution,,,,
Duke University,,,,FALSE,,,,,,,,,Institution,,,,
Duquesne University,,,,FALSE,,,,,,,,,Institution,,,,
East Carolina University,,,,FALSE,,,,,,,,,Institution,,,,
East Tennessee State University,,,,FALSE,,,,,,,,,Institution,,,,
Eastern Virginia Medical School,,,,FALSE,,,,,,,,,Institution,,,,
Emory University,,,,FALSE,,,,,,,,,Institution,,,,
Florida A&M University,,,,FALSE,,,,,,,,,Institution,,,,
Florida Atlantic University,,,,FALSE,,,,,,,,,Institution,,,,
Florida Institute of Technology,,,,FALSE,,,,,,,,,Institution,,,,
Florida International University,,,,FALSE,,,,,,,,,Institution,,,,
Florida State University,,,,FALSE,,,,,,,,,Institution,,,,
Fordham University,,,,FALSE,,,,,,,,,Institution,,,,
George Mason University,,,,FALSE,,,,,,,,,Institution,,,,
