Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
workflow,"Name and version of the workflow used to generate/analyze the data",,workflowLink,FALSE,,,,,,workflow,Property,Processing,annotationProperty,,,,
workflowLink,"Workflow URL reference",,,FALSE,,,,,,workflowLink,Property,Processing,annotationProperty,,,,
genomicReference,"Version of genome reference used for alignment in processing workflow",,,FALSE,,,,,,genomicReference,Property,Processing,annotationProperty,,,,
averageInsertSize,"Average insert size as reported by samtools",,,FALSE,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads&anchor=average_insert_size,,,,,averageInsertSize,Property,Processing,annotationProperty,,,,
averageReadLength,"Average read length collected from samtools",,,FALSE,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads&anchor=average_read_length,,,,,averageReadLength,Property,Processing,annotationProperty,,,,
averageBaseQuality,"Average base quality collected from samtools",,,FALSE,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads&anchor=average_base_quality,,,,,averageBaseQuality,Property,Processing,annotationProperty,,,,
pairsOnDifferentChr,"Pairs on different chromosomes collected from samtools",,,FALSE,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads&anchor=pairs_on_diff_chr,,,,,pairsOnDifferentChr,Property,Processing,annotationProperty,,,,
readsDuplicatedPercent,"Percent of duplicated reads collected from samtools",,,FALSE,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads&anchor=proportion_reads_duplicated,,,,,readsDuplicatedPercent,Property,Processing,annotationProperty,,,,
readsMappedPercent,"Percent of mapped reads collected from samtools",,,FALSE,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads&anchor=proportion_reads_mapped,,,,,readsMappedPercent,Property,Processing,annotationProperty,,,,
meanCoverage,"Mean coverage for whole genome sequencing, or mean target coverage for whole exome and targeted sequencing, collected from Picard Tools",,,FALSE,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads&anchor=mean_coverage,,,,,meanCoverage,Property,Processing,annotationProperty,,,,
proportionCoverage10x,"Proportion of all reference bases for whole genome sequencing, or targeted bases for whole exome and targeted sequencing, that achieves 10X or greater coverage from Picard Tools",,,FALSE,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads&anchor=proportion_coverage_10x,,,,,proportionCoverage10x,Property,Processing,annotationProperty,,,,
proportionCoverage30x,"Proportion of all reference bases for whole genome sequencing, or targeted bases for whole exome and targeted sequencing, that achieves 30X or greater coverage from Picard Tools",,,FALSE,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads&anchor=proportion_coverage_30x,,,,,proportionCoverage30x,Property,Processing,annotationProperty,,,,
isFilteredReads,"Whether the reads in the processed result has been filtered by adding a 'PASS' filter or other filters as determined by the data generator",,,FALSE,Sage Bionetworks,,,,,isFilteredReads,Property,Processing,annotationProperty,,,,
