Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
28cNF,A primary cutaneous neurofibroma cell line; not broadly available. See the immortalized version (i28NF).,"","",FALSE,"",modelSystemName,"","","",28NF,Class,Biosample,Model_System,Cell_Line_Model,"","",""
3PNF_FiPSsv_PM_2,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_UN11,modelSystemName,"","","",3PNF_FiPSsv_PM_2,Class,Biosample,Model_System,Cell_Line_Model,"","",""
3PNF_SiPSsv_MM_11,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_UN12,modelSystemName,"","","",3PNF_SiPSsv_MM_11,Class,Biosample,Model_System,Cell_Line_Model,"","",""
5PNF_TDiPSsv_MM_4,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_UN13,modelSystemName,"","","",5PNF_TDiPSsv_MM_4,Class,Biosample,Model_System,Cell_Line_Model,"","",""
5PNF_TDiPSsv_PM_6,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_UN14,modelSystemName,"","","",5PNF_TDiPSsv_PM_6,Class,Biosample,Model_System,Cell_Line_Model,"","",""
6PNF_SiPSrv_PM_2,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_UN15,modelSystemName,"","","",6PNF_SiPSrv_PM_2,Class,Biosample,Model_System,Cell_Line_Model,"","",""
7PNF_SiPSrv_PM_12,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_UN16,modelSystemName,"","","",7PNF_SiPSrv_PM_12,Class,Biosample,Model_System,Cell_Line_Model,"","",""
90-8,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_1B47,modelSystemName,"","","",90-8,Class,Biosample,Model_System,Cell_Line_Model,"","",""
AC007-hTERT,Human arachnoid cell line,"","",FALSE,"",modelSystemName,"","","",AC007-hTERT,Class,Biosample,Model_System,Cell_Line_Model,"","",""
BJFF.6,iPSCs created with foreskin fibroblasts.,"","",FALSE,"",modelSystemName,"","","",8a213a9d-392b-4746-8f59-c12f753d9217,Class,Biosample,Model_System,Cell_Line_Model,"","",""
Ben-Men-1,Human meningioma cell line (RRID:CVCL_1959),"","",FALSE,https://web.expasy.org/cellosaurus/CVCL_1959,modelSystemName,"","","",Ben-Men-1,Class,Biosample,Model_System,Cell_Line_Model,"","",""
Dh5 alpha,[From GFF:] Dh5 alpha,"","",FALSE,"",modelSystemName,"","","",68977077-e0a3-40df-92ab-d62285edd23c,Class,Biosample,Model_System,Cell_Line_Model,"","",""
Dhh-Cre; NF1Arg681*/flox Schwann Cells,[From GFF:] Dhh-Cre; NF1Arg681*/flox Schwann Cells,"","",FALSE,"",modelSystemName,"","","",1ae5651a-818f-4732-8045-17bea2555056,Class,Biosample,Model_System,Cell_Line_Model,"","",""
ELK-TAD Luciferase Reporter HEK293 Stable,[From GFF:] ELK-TAD Luciferase Reporter HEK293 Stable,"","",FALSE,"",modelSystemName,"","","",c88fcbc9-24c1-4f2b-8d13-02f5037dcf1c,Class,Biosample,Model_System,Cell_Line_Model,"","",""
ELK-TAD Luciferase Reporter HEK293 Stable NF1 -/-,[From GFF:] This cell line is in development and not comprehensively characterized. Please contact the investigator for more information. ELK-TAD Luciferase Reporter HEK293 Stable NF1 -/-,"","",FALSE,"",modelSystemName,"","","",3239573e-4ae1-4e01-8098-00dce6ac0a84,Class,Biosample,Model_System,Cell_Line_Model,"","",""
Fb93.1,Cell line generated by Ray Mattingly's lab.,"","",FALSE,"",modelSystemName,"","","",Fb93.1,Class,Biosample,Model_System,Cell_Line_Model,"","",""
GM11601,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_AA01,modelSystemName,"","","",GM11601,Class,Biosample,Model_System,Cell_Line_Model,"","",""
GM11602,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_AA02,modelSystemName,"","","",GM11602,Class,Biosample,Model_System,Cell_Line_Model,"","",""
GM23338,"[From GFF:] iPSC NF1 WT, PGP1 cells","","",FALSE,"",modelSystemName,"","","",4c4e4b03-5975-4708-a25c-f6c45cbe3abf,Class,Biosample,Model_System,Cell_Line_Model,"","",""
HBE135-E6E7,[From ATCC:] The HBE135-E6E7 cell line was derived from normal bronchial epithelium taken from a man undergoing lobectomy for squamous cell carcinoma. Cells from the primary explant in their first passage were infected with the recombinant retrovirus LXSN16E6E7 containing the human papilloma virus (HPV) E6E7 gene.,"","",FALSE,"",modelSystemName,"","","",0a1a3741-0337-4067-95ab-fb0dc9562d66,Class,Biosample,Model_System,Cell_Line_Model,"","",""
HEK293,Human Embryonic Kidney 293 cell line,"","",FALSE,https://www.cellosaurus.org/CVCL_0045,modelSystemName,"","","",HEK293,Class,Biosample,Model_System,Cell_Line_Model,"","",""
HEK293 NF1 -/- Exon 17 #A15 G629R cryptic splice,[From GFF:] HEK293 NF1 -/- Exon 17 #A15 G629R cryptic splice,"","",FALSE,"",modelSystemName,"","","",ae765b00-9189-4a72-8ae7-cddc41e24055,Class,Biosample,Model_System,Cell_Line_Model,"","",""
HEK293 NF1 -/- Exon 17 #B48 G629R cryptic splice,[From GFF:] HEK293 NF1 -/- Exon 17  #B48 G629R cryptic splice,"","",FALSE,"",modelSystemName,"","","",9b4b8eca-f981-440d-b478-0a5483353368,Class,Biosample,Model_System,Cell_Line_Model,"","",""
HEK293 NF1 -/- Exon 47 insT #14,[From GFF:] This cell line is in development and not comprehensively characterized. Please contact the investigator for more information. HEK293 NF1 -/- Exon 47 insT #14,"","",FALSE,"",modelSystemName,"","","",130fd347-28e1-46c2-a72d-d243e99322b7,Class,Biosample,Model_System,Cell_Line_Model,"","",""
HEK293 NF1 -/- Exon 52 R2550X #5,[From GFF:] This cell line is in development and not comprehensively characterized. Please contact the investigator for more information. HEK293 NF1 -/- Exon 52 R2550X #5,"","",FALSE,"",modelSystemName,"","","",7d565aea-0917-428b-9101-d2a19f3fbcf1,Class,Biosample,Model_System,Cell_Line_Model,"","",""
HEK293 NF1 -/- clone 2,[From GFF:] HEK293 NF1 -/- clone 2,"","",FALSE,"",modelSystemName,"","","",f59f3308-a440-497d-8eee-8d7756a9ae2b,Class,Biosample,Model_System,Cell_Line_Model,"","",""
HEK293 NF1 -/- with R1306X mNf1 cDNA,[From GFF:] This cell line is in development and not comprehensively characterized. Please contact the investigator for more information.  HEK293 NF1 -/- with R1306X mNf1 cDNA,"","",FALSE,"",modelSystemName,"","","",02dacc42-ea46-48fb-a4df-7a875d801086,Class,Biosample,Model_System,Cell_Line_Model,"","",""
HEK293 NF1 -/- with R192X mNf1 cDNA,[From GFF:] This cell line is in development and not comprehensively characterized. Please contact the investigator for more information.  HEK293 NF1 -/- with R192X mNf1 cDNA,"","",FALSE,"",modelSystemName,"","","",fb67363f-d309-4c7c-ba1e-f295ba411018,Class,Biosample,Model_System,Cell_Line_Model,"","",""
HEK293 NF1 -/- with R1947X mNf1 cDNA,[From GFF:] This cell line is in development and not comprehensively characterized. Please contact the investigator for more information.  HEK293 NF1 -/- with R1947X mNf1 cDNA,"","",FALSE,"",modelSystemName,"","","",14353c91-2be9-4617-b337-c29080961826,Class,Biosample,Model_System,Cell_Line_Model,"","",""
HEK293 NF1 -/- with R2550X mNf1 cDNA,[From GFF:] This cell line is in development and not comprehensively characterized. Please contact the investigator for more information.  HEK293 NF1 -/- with R2550X mNf1 cDNA,"","",FALSE,"",modelSystemName,"","","",aa32fc67-9cc3-4d31-bcbd-f7044f9fd484,Class,Biosample,Model_System,Cell_Line_Model,"","",""
HEK293 NF1 -/- with R461X mNf1 cDNA,[From GFF:] This cell line is in development and not comprehensively characterized. Please contact the investigator for more information.  HEK293 NF1 -/- with R461X mNf1 cDNA,"","",FALSE,"",modelSystemName,"","","",3f29aa26-1d05-453a-a6ac-d4e37d609dba,Class,Biosample,Model_System,Cell_Line_Model,"","",""
HEK293 NF1 -/- with R681X mNf1 cDNA,[From GFF:] This cell line is in development and not comprehensively characterized. Please contact the investigator for more information.  HEK293 NF1 -/- with R681X mNf1 cDNA,"","",FALSE,"",modelSystemName,"","","",32f73d96-fd2a-4966-a150-ba5fa47d150c,Class,Biosample,Model_System,Cell_Line_Model,"","",""
HEK293 NF1 -/- with R816X mNf1 cDNA,[From GFF:] This cell line is in development and not comprehensively characterized. Please contact the investigator for more information.  HEK293 NF1 -/- with R816X mNf1 cDNA,"","",FALSE,"",modelSystemName,"","","",f047cff6-98c8-4562-b589-94b864ae35a1,Class,Biosample,Model_System,Cell_Line_Model,"","",""
HEK293 NF1 -/- with WT mNf1 cDNA,[From GFF:] This cell line is in development and not comprehensively characterized. Please contact the investigator for more information. HEK293 NF1 -/- with WT mNf1 cDNA,"","",FALSE,"",modelSystemName,"","","",f2d00598-9db3-4549-a473-16b1db349614,Class,Biosample,Model_System,Cell_Line_Model,"","",""
HEK293 NF1 -/- with WT tagged mNf1 cDNA,[From GFF:] This cell line is in development and not comprehensively characterized. Please contact the investigator for more information. HEK293 NF1 -/- with WT tagged mNf1 cDNA,"","",FALSE,"",modelSystemName,"","","",96d339f9-9d19-40c3-8f81-3590f7c00205,Class,Biosample,Model_System,Cell_Line_Model,"","",""
HeLa SilenciX NF1,HeLa cervical cancer cells with stable (EBV-based siRNA) knockdown of the NF1 gene.,"","",FALSE,"",modelSystemName,"","","",2549e536-b033-43e4-acf6-501499b6e498,Class,Biosample,Model_System,Cell_Line_Model,"","",""
JH-2-002-CL,Cell line derived from JHU biobank individual,"","",FALSE,"",modelSystemName,"","","",JH-2-002-CL,Class,Biosample,Model_System,Cell_Line_Model,"","",""
JH-2-079-CL,Cell line derived from JHU biobank individual,"","",FALSE,"",modelSystemName,"","","",JH-2-079-CL,Class,Biosample,Model_System,Cell_Line_Model,"","",""
JH-2-103-CL,Cell line derived from JHU biobank individual,"","",FALSE,"",modelSystemName,"","","",JH-2-103-CL,Class,Biosample,Model_System,Cell_Line_Model,"","",""
JHU 2-002-CL,An MPNST cell line derived from JHU NF1 Biobank tumor specimen JHU 2-002.,"","",FALSE,Sage Bionetworks,modelSystemName,"","","",JHU 2-002-CL,Class,Biosample,Model_System,Cell_Line_Model,"","",""
JHU 2-002-PDX,A PDX model derived from JHU NF1 Biobank tumor specimen JHU 2-002.,"","",FALSE,Sage Bionetworks,modelSystemName,"","","",JHU 2-002-PDX,Class,Biosample,Model_System,Cell_Line_Model,"","",""
JHU 2-079-CL,An MPNST cell line derived from JHU NF1 Biobank tumor specimen JHU 2-079.,"","",FALSE,Sage Bionetworks,modelSystemName,"","","",JHU 2-079-CL,Class,Biosample,Model_System,Cell_Line_Model,"","",""
JHU 2-079-PDX,A PDX model derived from JHU NF1 Biobank tumor specimen JHU 2-079.,"","",FALSE,Sage Bionetworks,modelSystemName,"","","",JHU 2-079-PDX,Class,Biosample,Model_System,Cell_Line_Model,"","",""
JHU 2-103-CL,An MPNST cell line derived from JHU NF1 Biobank tumor specimen JHU 2-103.,"","",FALSE,Sage Bionetworks,modelSystemName,"","","",JHU 2-103-CL,Class,Biosample,Model_System,Cell_Line_Model,"","",""
JHU 2-103-PDX,A PDX model derived from JHU NF1 Biobank tumor specimen JHU 2-103.,"","",FALSE,Sage Bionetworks,modelSystemName,"","","",JHU 2-103-PDX,Class,Biosample,Model_System,Cell_Line_Model,"","",""
KCL024,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_A257,modelSystemName,"","","",KCL024,Class,Biosample,Model_System,Cell_Line_Model,"","",""
KCL025,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_A258,modelSystemName,"","","",KCL025,Class,Biosample,Model_System,Cell_Line_Model,"","",""
Lis42_NF1_1N,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_Y368,modelSystemName,"","","",Lis42_NF1_1N,Class,Biosample,Model_System,Cell_Line_Model,"","",""
Lis47_NF1_2N,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_Y373,modelSystemName,"","","",Lis47_NF1_2N,Class,Biosample,Model_System,Cell_Line_Model,"","",""
M3 MPNST,A patient-derived MPNST cell line,"","",FALSE,Sage Bionetworks,modelSystemName,"","","",M3_MPNST,Class,Biosample,Model_System,Cell_Line_Model,"","",""
NCC-MPNST1-C1,MPNST tumor cell line from an NF1 patient.,"","",FALSE,"",modelSystemName,"","","",fc3ae45e-9a5b-4fa5-8430-f53479f07f5a,Class,Biosample,Model_System,Cell_Line_Model,"","",""
NCC-MPNST2-C1,"","","",FALSE,https://web.expasy.org/cellosaurus/CVCL_YU13,modelSystemName,"","","",NCC-MPNST2-C1,Class,Biosample,Model_System,Cell_Line_Model,"","",""
