Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
C57BL/6J,C57BL/6 is the most widely used inbred strain. It is commonly used as a general purpose strain and background strain for the generation of congenics carrying both spontaneous and induced mutations.,"","",FALSE,https://www.jax.org/strain/000664,modelSystemName,,"","",C57BL/6J,Class,Biosample,Model_System,Mouse_Model,"","",""
NOD scid gamma,"These mice are most often referred to using their branded name NSG™ and are extremely immunodeficient.","","",FALSE,https://www.jax.org/strain/005557,modelSystemName,,"","",NOD_scid_gamma,Class,Biosample,Model_System,Mouse_Model,"","",""
NRG,"Extremely immunodeficient mice with a targeted knockout mutation in recombination activating gene 1 (Rag1) and a complete null allele of the IL2 receptor common gamma chain.","","",FALSE,https://www.jax.org/strain/007799,modelSystemName,,"","",NRG,Class,Biosample,Model_System,Mouse_Model,"","",""
B6;129S2-Trp53tm1Tyj Nf1tm1Tyj/J,"","","",FALSE,https://www.jax.org/strain/008191,modelSystemName,,"","",B6;129S2-Trp53tm1Tyj Nf1tm1Tyj/J,Class,Biosample,Model_System,Mouse_Model,"","",""
B6;129-Trp53tm1Tyj Nf1tm1Tyj Suz12Gt(Betageo)1Khe/KcichJ,"","","",FALSE,https://www.jax.org/strain/027678,modelSystemName,,"","",B6;129-Trp53tm1Tyj Nf1tm1Tyj Suz12Gt(Betageo)1Khe/KcichJ,Class,Biosample,Model_System,Mouse_Model,"","",""
B6.129S2-Nf1tm1Tyj/J,"","","",FALSE,https://www.jax.org/strain/008192,modelSystemName,,"","",B6.129S2-Nf1tm1Tyj/J,Class,Biosample,Model_System,Mouse_Model,"","",""
B6.129S1-Nf1tm1Cbr/J,"","","",FALSE,https://www.jax.org/strain/007923,modelSystemName,,"","",B6.129S1-Nf1tm1Cbr/J,Class,Biosample,Model_System,Mouse_Model,"","",""
B6.129(Cg)-Nf1tm1Par/J,"","","",FALSE,https://www.jax.org/strain/017640,modelSystemName,,"","",B6.129(Cg)-Nf1tm1Par/J,Class,Biosample,Model_System,Mouse_Model,"","",""
Prss56Cre;R26mT,"Prss56Cre;R26mT is a transgenic non-human animal model for Neurofibromatosis type 1, wherein the Nf1 gene is specifically inactivated in BC cells and derivatives thereof.","","",FALSE,https://patents.google.com/patent/EP3420811A1/en,modelSystemName,,"","",Prss56Cre;R26mT,Class,Biosample,Model_System,Mouse_Model,"","",""
Nf1-OPG,"","","",FALSE,"",modelSystemName,,"","",Nf1-OPG,Class,Biosample,Model_System,Mouse_Model,"","",""
Nf1-OPG-Arg816,"","","",FALSE,"",modelSystemName,,"","",Nf1-OPG-Arg816,Class,Biosample,Model_System,Mouse_Model,"","",""
