Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
nerve tissue,"Portion of tissue in the nervous system which consists of neurons and glial cells, and may also contain parts of the vasculature.","","",FALSE,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0003714,tissue,,"","",Nerve_Tissue,Class,Biosample,Tissue,"","","",""
optic nerve,The nerve that carries messages from the retina to the brain.,"","",FALSE,http://purl.obolibrary.org/obo/NCIT_C12761,tissue,,"","",Optic_Nerve,Class,Biosample,Tissue,"","","",""
serum,Liquid derived from blood plasma that has clotting factors removed.,"","",FALSE,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001977,tissue,,"","",Serum,Class,Biosample,Tissue,"","","",""
plasma,"Plasma is the fluid (noncellular) portion of the circulating blood, as distinguished from the serum that is the fluid portion of the blood obtained by removal of the fibrin clot and blood cells after coagulation.","","",FALSE,http://purl.obolibrary.org/obo/NCIT_C13356,tissue,,"","",Plasma,Class,Biosample,Tissue,"","","",""
splenocyte,Any leukocyte that is part of a spleen.,"","",FALSE,https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_2000074,tissue,,"","",Splenocyte,Class,Biosample,Tissue,"","","",""
blood,A fluid that is composed of blood plasma and erythrocytes.,"","",FALSE,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0000178,tissue,,"","",Blood,Class,Biosample,Tissue,"","","",""
primary tumor,"A primary tumor is the tumor at the initial site of cancer, not where the cancer may have spread or metastasized, called the secondary tumor.","",tumorType,FALSE,https://cancergenome.nih.gov/cancersselected/biospeccriteria,tissue,,"","",Primary_Tumor,Class,Biosample,Tissue,"","","",""
embryonic tissue,A portion of tissue that is part of an embryo.,"","",FALSE,http://purl.obolibrary.org/obo/UBERON_0005291,tissue,,"","",Embryonic_Tissue,Class,Biosample,Tissue,"","","",""
meninges,The three thin layers of tissue that cover and protect the brain and spinal cord.,"","",FALSE,https://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0024758/,tissue,,"","",Meninges,Class,Biosample,Tissue,"","","",""
bone marrow,"The soft, fatty, vascular tissue that fills most bone cavities and is the source of red blood cells and many white blood cells.","","",FALSE,http://purl.obolibrary.org/obo/BTO_0000141,tissue,,"","",Bone_Marrow,Class,Biosample,Tissue,"","","",""
Buccal Mucosa,"The mucosal membranes located on the inside of the cheek, in the buccal cavity.The inner lining of the cheeks.","","",FALSE,http://purl.obolibrary.org/obo/NCIT_C12505,tissue,,"","",Buccal_Mucosa,Class,Biosample,Tissue,"","","",""
Dorsal Root Ganglion,Ganglion with sensory function within the vertebral column.,"","",FALSE,http://purl.obolibrary.org/obo/NCIT_C12462,tissue,,"","",Dorsal_Root_Ganglion,Class,Biosample,Tissue,"","","",""
cerebral cortex,"The outer layer of the cerebrum composed of neurons and unmyelinated nerve fibers. It is responsible for memory, attention, consciousness and other higher levels of mental function.","","",FALSE,http://purl.obolibrary.org/obo/NCIT_C12443,tissue,,"","",Cerebral_Cortex,Class,Biosample,Tissue,"","","",""
sciatic nerve,"The longest single nerve that is formed by the merging of the ventral rami of the L4, L5, and S1 in the pelvis and passes down the lower limb where it divides into the common peroneal and tibial nerves","","",FALSE,http://purl.obolibrary.org/obo/NCIT_C52810,tissue,,"","",Sciatic_Nerve,Class,Biosample,Tissue,"","","",""
unspecified,Unspecified tissue or tissues from an organ.,"","",FALSE,Sage Bionetworks,tissue,,"","","","",Biosample,Tissue,"","","",""
whole brain,Brain tissue not limited to a specific region.,"","",FALSE,Sage Bionetworks,tissue,,"","",Whole_Brain_Tissue,Class,Biosample,Tissue,"","","",""
Buffy Coat,The middle layer of an anticoagulated blood specimen following separation by centrifugation. It contains most of the white blood cells and platelets.,"","",FALSE,http://purl.obolibrary.org/obo/NCIT_C84507,tissue,,"","",Buffy_Coat,Class,Biosample,Tissue,"","","",""
normal,No pathological entity observable.,"","",FALSE,http://purl.obolibrary.org/obo/MPATH_458,"",,"","",Normal,Class,Biosample,Tissue,"","","",""
connective tissue,"","","",FALSE,"",tissue,,"","",Connective_Tissue,Class,Biosample,Tissue,"","","",""
tumor-adjacent normal,Tissue comprised of morphologically normal tissue collected from the area immediately surrounding a tumor.,"","",FALSE,http://purl.obolibrary.org/obo/NCIT_C164032,tissue,,"","",Tumor_Adjacent_Normal,Class,Biosample,Tissue,"","","",""
PDX tissue,Patient derived xenograft tissue,"","",FALSE,"",tissue,,"","",PDX_Tissue,Class,Biosample,Tissue,"","","",""
