Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
tumorType,The type of tumor that the biospecimen used to generate the data were collected from.,"Teratoma, Cutaneous Neurofibroma, Subcutaneous Neurofibroma, Plexiform Neurofibroma, Atypical Neurofibroma, Malignant Peripheral Nerve Sheath Tumor, Glioma, Low-Grade Glioma NOS, Pilocytic Astrocytoma, Atypical Pilocytic Astrocytoma, Pilomyxoid Astrocytoma, Diffuse Astrocytoma, Glioblastoma Multiforme, Anaplastic Pilocytic Astrocytoma, Pleomorphic Xanthoastrocytoma, Oligoastrocytoma, High-Grade Glioma NOS, Unknown, Anaplastic Astrocytoma, Glioblastoma, Schwannoma, Meningioma, Massive Soft Neurofibroma, Diffuse Infiltrating Neurofibroma, Localized Neurofibroma, Neurofibroma with Degenerative Atypia, Neurofibroma, Anaplastic Pleomorphic Xanthoastrocytoma, Ganglioglioma, Anaplastic Ganglioglioma, Optic Pathway Glioma, Not Applicable,Colorectal Carcinoma,Recurrent MPNST,Juvenile Myelomonocytic Leukemia,Sarcoma,Fibromatosis,Fibrosarcoma,Necrotic Neoplasm,Hemorrhagic Neoplasm,NF1-Associated Tumor,NF2-Associated Tumor,Melanoma","",FALSE,Sage Bionetworks,cancer,,,"",tumorType,Property,Biosample,annotationProperty,biosampleAnnotation,Tumor,"",""
diagnosis,A diagnosis is the result of a medical investigation to identify a disorder from its signs and symptoms.,"Neurofibromatosis type 1, Neurofibromatosis type 2, Schwannomatosis, Unknown, Not Applicable, Sporadic Schwannoma","",FALSE,"",experimentalData,,,"",diagnosis,Property,Biosample,annotationProperty,"",Diagnosis,one,Currently a single NF diagnosis allowed; in the future multiple diagnoses may be allowed for comorbidities.
bodyPart,"Sample location referring to a named area of the body, inclusive of gross anatomical structures and organ parts. ","head, neck, scalp, leg, pelvis, mesentery, axilla, acetabulum, forearm, muscle, finger, thoracic spine, groin, back, iliac spine, spine, shoulder, scapula, lymph node, kidney, skin, mammary gland, nerves, brain, blood, breast, colon, lung, liver, prostate, pancreas, ovary, spleen, bone marrow, Bursa Of Fabricius, nose","",FALSE,"",experimentalData,,,"",bodyPart,Property,Biosample,annotationProperty,"",Body_Part,"",""
organ,A unique macroscopic (gross) anatomic structure that performs specific functions. It is composed of various tissues. An organ is part of an anatomic system or a body region.,"lymph node, kidney, skin, mammary gland, nerves, brain, blood, breast, colon, lung, liver, prostate, pancreas, ovary, spleen, bone marrow, Bursa Of Fabricius, nose, Eye","",FALSE,"",experimentalData,,,"",organ,Property,Biosample,annotationProperty,"",Organ,"",""
individualIdSource,Database or repository to which individual ID maps,"","",FALSE,"",experimentalData,,,"",individualIdSource,Property,Biosample,annotationProperty,"","","",""
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,"nerve tissue,optic nerve,serum,plasma,splenocyte,blood,primary tumor,embryonic tissue,meninges,bone marrow,Buccal Mucosa,Dorsal Root Ganglion,unspecified,whole brain,Buffy Coat,cerebral cortex,sciatic nerve,connective tissue,tumor-adjacent normal, PDX tissue, CDX tissue, metastatic/recurrent tumor, recurrent tumor, metastatic tumor, organoid, spheroid, microtissue, retina","",FALSE,"",experimentalData,,,"",tissueType,Property,Biosample,annotationProperty,"",Tissue,"",""
isCellLine,Whether or not sample source is a cell line (Yes; No),"Yes, No","",FALSE,"",experimentalData,,,"",isCellLine,DataProperty,Biosample,annotationProperty,"","","",""
isPrimaryCell,Whether or not cellType is primary (Yes; No),"Yes, No","",FALSE,"",experimentalData,,,"",isPrimaryCell,DataProperty,Biosample,annotationProperty,"","","",""
cellType,A cell type is a distinct morphological or functional form of cell.,"Schwann cell precursor, B-lymphocytes, Embryonic stem cells, iPSC, iPSC-derived telencephalic organoids, GABAergic neurons, monocytes, microglia, macrophages, astrocytes, SH-SY5Y, GLUtamatergic neurons, NeuN+, NeuN-, epithelial, epithelial-like, fibroblast, round, lymphoblast, CD8+ T-Cells, arachnoid, meningioma, schwannoma, oligodendrocyte, schwann, iPSC-derived neuron, iPSC-derived glia, iPSC-derived astrocytes, monocyte-derived microglia, iPSC-derived neuronal progenitor cell, CD138+, CNON, teratoma, cultured Muller glia, DRG/nerve root neurosphere cell","",FALSE,"",experimentalData,,,list like,cellType,DataProperty,Biosample,annotationProperty,"",Cell,"",""
isMultiIndividual,Whether or not a file has data for multiple individuals (Yes; No),"Yes, No","",TRUE,"",experimentalData,,,"",isMultiIndividual,DataProperty,Biosample,annotationProperty,"","","",""
