Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
genomicsAssay,"An assay of genomic type (rnaseq, exomeseq, etc). ","","Filename,progressReportNumber,fileFormat,resourceType,dataType,dataSubtype,assay,individualID,sex,species,modelSystemName,genePerturbationType,genePerturbationTechnology,genePerturbed,diagnosis,specimenID,organ,tissue,nf1Genotype,nf2Genotype,isCellLine,isPrimaryCell,cellType,tumorType,specimenPreparationMethod,experimentalCondition,experimentalTimepoint,timePointUnit,platform,runType,readPair,isStranded,readPairOrientation,readStrandOrigin,libraryPrep,libraryPreparationMethod,nucleicAcidSource,dissociationMethod,readLength,readDepth,comments",TRUE,"",template,,ngs,"",Genomics_Assay_Template,Class,Template,Template,Assay_Template,"","",""
imagingAssay,"An assay of imaging type (ihc, etc). ","","Filename,progressReportNumber,fileFormat,resourceType,dataType,dataSubtype,assay,individualID,sex,species,modelSystemName,genePerturbationType,genePerturbationTechnology,genePerturbed,diagnosis,specimenID,organ,tissue,nf1Genotype,nf2Genotype,isCellLine,isPrimaryCell,cellType,tumorType,assayTarget,experimentalCondition,experimentalTimepoint,timePointUnit,platform,comments",TRUE,"",template,,"","",Imaging_Assay_Template,Class,Template,Template,Assay_Template,"","",""
MRIAssay,"","","Filename,progressReportNumber,fileFormat,resourceType,dataType,dataSubtype,assay,individualID,sex,species,modelSystemName,diagnosis,specimenID,organ,tissue,nf1Genotype,nf2Genotype,experimentalCondition,experimentalTimepoint,timePointUnit,platform,MRISequence,comments",TRUE,"",template,,"","",MRI_Assay_Template,Class,Template,Template,Assay_Template,"","",""
epigeneticsAssay,An epigenetics assay.,"","Filename,progressReportNumber,fileFormat,resourceType,dataType,dataSubtype,assay,individualID,sex,species,modelSystemName,genePerturbationType,genePerturbationTechnology,genePerturbed,diagnosis,specimenID,organ,tissue,nf1Genotype,nf2Genotype,isCellLine,isPrimaryCell,cellType,tumorType,assayTarget,experimentalCondition,experimentalTimepoint,timePointUnit,platform,readDepth,nucleicAcidSource,comments",TRUE,"",template,,"","",Epigenetics_Assay_Template,Class,Template,Template,Assay_Template,"","",""
pharmacokineticsAssay,A pharmacokinetics assay.,"","Filename,progressReportNumber,fileFormat,resourceType,dataType,dataSubtype,assay,individualID,sex,species,modelSystemName,genePerturbationType,genePerturbationTechnology,genePerturbed,diagnosis,specimenID,organ,tissue,nf1Genotype,nf2Genotype,isCellLine,isPrimaryCell,cellType,tumorType,assayTarget,experimentalCondition,experimentalTimepoint,timePointUnit,experimentId,comments",TRUE,"",template,,"","",Pharmacokinetics_Assay_Template,Class,Template,Template,Assay_Template,"","",""
proteomicsAssay,A proteomics assay.,"","Filename,progressReportNumber,fileFormat,resourceType,dataType,dataSubtype,assay,individualID,sex,species,modelSystemName,genePerturbationType,genePerturbationTechnology,genePerturbed,diagnosis,specimenID,proteinExtractSource,organ,tissue,nf1Genotype,nf2Genotype,isCellLine,isPrimaryCell,cellType,tumorType,experimentalCondition,experimentalTimepoint,timePointUnit,platform,comments",TRUE,"",template,,"","",Proteomics_Assay_Template,Class,Template,Template,Assay_Template,"","",""
plateBasedReporterAssay,A plate based reporter assay.,"","Filename,progressReportNumber,fileFormat,resourceType,dataType,dataSubtype,individualID,specimenID,sex,species,modelSystemName,genePerturbationType,genePerturbationTechnology,genePerturbed,diagnosis,organ,tissue,nf1Genotype,nf2Genotype,isCellLine,isPrimaryCell,cellType,tumorType,assay,platform,reporterGene,reporterSubstance,experimentalCondition,experimentalTimepoint,timePointUnit,comments",TRUE,"",template,,"","",Plate_Based_Reporter_Assay_Template,Class,Template,Template,Assay_Template,"","",""
patientTimepoints,Patient level metadata. Not for annotation.,"","individualID,sex,species,diagnosis,nf1Genotype,nf2Genotype,experimentalCondition,experimentalTimepoint,timePointUnit,comments",TRUE,"",template,,"","",Patient_Timepoints_Template,Class,Template,Template,Non_Assay_Template,"","",""
clinicalAssayTemplate,"Annotation template for simple endpoint data from clinical assays often used in diagnostic practice or clinical trials ; may include repeated measures and a treatment/intervention context. Examples include bloodwork results (creatine assay, serum antibody assay), tumor size measurements, or medication adherence. Note that clinical data are from human individuals, therefore species should be “human”.  ","","Filename,progressReportNumber,fileFormat,resourceType,dataType,dataSubtype,assay,platform,individualID,specimenID,sex,species,diagnosis,nf1Genotype,nf2Genotype,bodyPart,tissue,cellType,tumorType,experimentalCondition,experimentalTimepoint,timePointUnit,InChIKey,compoundName,compoundDose, compoundDoseUnit,comments",TRUE,Sage Bionetworks,template,,"","",Clinical_Assay_Template,Class,Template,Template,Assay_Template,"","",""
sourceCodeTemplate,A template that can be used for annotating scripts or source code for a software application.,"","Filename,progressReportNumber,fileFormat,resourceType,programmingLanguage,documentation,runtimePlatform,comments",TRUE,Sage Bionetworks,template,,"","",Source_Code_Template,Class,Template,Template,Non_Assay_Template,"","",""
