"Field","Description","Required","ValidRange"
"Component","Type of metadata template; provide the same one for all items/rows.","true","#"
"assay","The technology used to generate the data in this file.","true","#AssayEnum"
"dataSubtype","Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.","true","#DataSubtypeEnum"
"dataType","Links an entity to data types that the entity represents/contains. This is closely tied to the assay property. For example, a file of dataType `genomicVariants` might have an assay value of `whole genome sequencing`.
","true","#Data|#Metadata"
"fileFormat","Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software","true","#FileFormatEnum"
"platform","A sequencing platform, microscope, spectroscope/plate reader, or other platform for collecting data.","true","#PlatformEnum"
"resourceType","The type of resource being stored and annotated","true","#Resource"
"specimenID","A unique identifier (non-PII) that represents the subspecimen (subsample) from which the data came,  e.g. an ID that distinguishes between different parts of the same parent tumor specimen.
","true","#"
"Filename","The name of the file.","false","#"
"concentrationMaterial","Numeric value for concentration of the material","false","#"
"concentrationMaterialUnit","Unit used for the material concentration, e.g. mg/mL","false","#ConcentrationUnit"
"concentrationNaCl","Numeric value for NaCl concentration","false","#"
"concentrationNaClUnit","Unit used for the NaCl concentration, e.g. mM","false","#ConcentrationUnit"
"materialType","Type of material in the characterization","false","#"
"pH","Numeric value for pH (range 0-14)","false","#"
