"Field","Description","Required","ValidRange"
"Component","Type of metadata template; provide the same one for all items/rows.","true","#"
"assay","The technology used to generate the data in this file.","true","#"
"dataSubtype","Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.","true","#"
"dataType","Links an entity to data types that the entity represents/contains. This is closely tied to the assay property. For example, a file of dataType `genomicVariants` might have an assay value of `whole genome sequencing`.
","true","#"
"diagnosis","Diagnosis for the individual given signs and symptoms. Use the most specific diagnosis term that applies.","true","#"
"fileFormat","Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software","true","#"
"genomicReference","Version of genome reference used for alignment in processing workflow","true","#"
"individualID","A unique identifier (non-PII) that represents the individual from which the data came. This could be a patient or animal ID.","true","#"
"resourceType","The type of resource being stored and annotated","true","#"
"species","The name of a species (typically a taxonomic group) of organism.","true","#"
"specimenID","A unique identifier (non-PII) that represents the subspecimen (subsample) from which the data came,  e.g. an ID that distinguishes between different parts of the same parent tumor specimen.
","true","#"
"tumorType","The type of tumor that the biospecimen used to generate the data were collected from.","true","#"
"Filename","The name of the file.","false","#"
"age","A numeric value representing age of the individual. Use with `ageUnit`.","false","#"
"ageUnit","A time unit that can be used with a given age value, e.g. years.","false","#"
"auxiliaryAsset","URI to supplemental asset(s), e.g. QC reports or other auxiliary files to support the processing, analysis, or interpretation of the current entity.
","false","#"
"averageBaseQuality","Average base quality collected from samtools","false","#"
"averageInsertSize","Average insert size as reported by samtools","false","#"
"averageReadLength","Average read length collected from samtools","false","#"
"comments","Brief free-text comments that may also be important to understanding the resource.","false","#"
"genomicReferenceLink","Link to genome reference data file used for alignment in processing workflow","false","#"
"meanCoverage","Mean coverage for whole genome sequencing, or mean target coverage for whole exome and targeted sequencing, collected from Picard Tools","false","#"
"modelSystemName","  HEK293 (cell line), Minnesota5 (swine strain), DXL (poultry strain), RB51 (vaccine strain of Brucella abortus)","false","#"
"nf1Genotype","Genotype of NF1 gene in the biospecimen from which the data were derived, if known.","false","#"
"nf2Genotype","Genotype of NF2 gene in the biospecimen from which the data were derived, if known","false","#"
"organ","A unique macroscopic (gross) anatomic structure that performs specific functions. It is composed of various tissues. An organ is part of an anatomic system or a body region.","false","#"
"pairsOnDifferentChr","Pairs on different chromosomes collected from samtools","false","#"
"proportionCoverage10x","Proportion of all reference bases for whole genome sequencing, or targeted bases for whole exome and targeted sequencing, that achieves 10X or greater coverage from Picard Tools","false","#"
"proportionCoverage30x","Proportion of all reference bases for whole genome sequencing, or targeted bases for whole exome and targeted sequencing, that achieves 30X or greater coverage from Picard Tools","false","#"
"readDepth","If available, the coverage statistic as output from bedtools coverage or samtools stats.","false","#"
"readsDuplicatedPercent","Percent of duplicated reads collected from samtools","false","#"
"readsMappedPercent","Percent of mapped reads collected from samtools","false","#"
"sex","Phenotypic expression of chromosomal makeup that defines a study subject as male, female, or other.","false","#"
"totalReads","If available, the total number of reads collected from samtools.","false","#"
"workflow","Name and version of the workflow used to generate/analyze the data","false","#"
"workflowLink","Workflow URL reference","false","#"
