"Field","Description","Required","ControlledVocab","Note"
"Component","Category of metadata manifest; provide the same one for all items/rows.","required","",""
"Filename","The name of the file.","required","","Automatically filled when using the curator app."
"assay","The technology used to generate the data in this file","required","#Assay",""
"dataSubtype","Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.","required","#Data_Level",""
"dataType","A type of experimental, clinical, or other data. This typically refers to a high-level data type that can be related to an assay type. For example, a file of dataType `genomicVariants` might have an assay value of `whole genome sequencing`.","required","#Data",""
"fileFormat","Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software","required","#File_Format",""
"resourceType","The type of resource being stored and annotated","required","#Resource",""
"concentrationMaterial","Numeric value for concentration of the material","optional","",""
"concentrationMaterialUnit","Unit used for the material concentration, e.g. mg/mL","optional","mg/mL,mM",""
"concentrationNaCl","Numeric value for NaCl concentration","optional","",""
"concentrationNaClUnit","Unit used for the NaCl concentration, e.g. mM","optional","mg/mL,mM",""
"materialType","Type of material in the characterization","optional","nanoparticles,polymeric nanoparticles,small molecule,DNA",""
"pH","Numeric value for pH sample parameter","optional","",""
"entityId",NA,NA,NA,NA
